Item,Item id,Item revenue per location,Item revenue,Item revenue percentage,Item volume per location,Item volume,Item volume percentage,Item aov,Item guests,N day item return rate,N day item reorder rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
Territory Coconut Curry Chickpeas,56c1e2887ea6a5737fd62057b175a642,78.87,78.87,0.0003,11.0000,11,0.0004,,0,,,2025-04-28,2025-05-25,114.72,114.72,0.0004,16.0000,16.0000,0.0005,,0.0000,0.0000,0.0000,-35.85,-0.3125,-35.85,-0.3125,-0.0001,-0.3085,-5.0000,-0.3125,-5.0000,,-0.0001,-0.2583,,,0.0000,,,,,
Kingfisher - Happy Hour,3f4f4be5dc8d87fa8b1c17dc36df8ae0,16.00,16.00,0.0001,4.0000,4,0.0001,,3,,,2025-04-28,2025-05-25,19.38,19.38,0.0001,5.0000,5.0000,0.0001,,5.0000,0.0000,0.0000,-3.38,-0.1744,-3.38,,-0.0000,-0.1697,-1.0000,-0.2000,-1.0000,,-0.0000,-0.1333,,,-2.0000,,,,,
Butter Chicken Burrito,037d8e4f48a3c66db8eaff8a4770bc84,2394.50,11972.48,0.0419,191.6000,958,0.0310,22.63,837,,,2025-04-28,2025-05-25,1676.31,8381.56,0.0291,151.6000,758.0000,0.0227,21.48,659.0000,0.2003,0.0850,718.18,0.4284,3590.92,0.4284,0.0127,0.4366,40.0000,0.2639,200.0000,0.2639,0.0083,0.3642,1.15,0.0537,178.0000,0.2701,,,,
Olipop - Lemon Lime,d0f6c9eca03c9e01cc39075f92426076,167.25,836.25,0.0029,47.2000,236,0.0076,24.63,211,,,2025-04-28,2025-05-25,182.35,911.74,0.0032,50.8000,254.0000,0.0076,24.53,230.0000,0.1609,0.0609,-15.10,-0.0828,-75.49,-0.0828,-0.0002,-0.0775,-3.6000,-0.0709,-18.0000,-0.0709,0.0000,0.0029,0.10,0.0040,-19.0000,-0.0826,,,,
Chicken Tikka Masala,267c2347c906518c838773cc8332e72e,1193.98,5969.88,0.0209,87.0000,435,0.0141,25.73,387,,,2025-04-28,2025-05-25,17.48,69.90,0.0002,1.5000,6.0000,0.0002,,5.0000,0.0000,0.0000,1176.50,67.3248,5899.98,,0.0206,84.8973,85.5000,57.0000,429.0000,,0.0139,77.2500,,,382.0000,,,,,
Burrito,19dfcc1e39e0cab78562faa5ab55adbb,409.45,2047.27,0.0072,31.0000,155,0.0050,24.13,133,,,2025-04-28,2025-05-25,217.79,1088.94,0.0038,18.2000,91.0000,0.0027,,79.0000,0.2405,0.0633,191.67,0.8801,958.33,0.8801,0.0034,0.8909,12.8000,0.7033,64.0000,,0.0023,0.8385,,,54.0000,,,,,
Lamb Kebab Bowl,e67440b5f094175ee64ce831322fe016,1609.08,8045.42,0.0281,116.4000,582,0.0188,25.30,519,,,2025-04-28,2025-05-25,1832.49,9162.43,0.0318,145.0000,725.0000,0.0217,23.78,626.0000,0.1885,0.0575,-223.40,-0.1219,-1117.01,-0.1219,-0.0037,-0.1169,-28.6000,-0.1972,-143.0000,-0.1972,-0.0029,-0.1335,1.52,0.0638,-107.0000,-0.1709,,,,
Rupee Lager,c9498895e746193d9ea035f9a81c3e40,104.50,418.00,0.0015,14.2500,57,0.0018,,52,,,2025-04-28,2025-05-25,115.50,462.00,0.0016,16.0000,64.0000,0.0019,,50.0000,0.0600,0.0200,-11.00,-0.0952,-44.00,-0.0952,-0.0001,-0.0900,-1.7500,-0.1094,-7.0000,,-0.0001,-0.0385,,,2.0000,,,,,
Wild Kombucha - Ginger,2800f7ea017d47701691d95876ecd531,81.00,405.00,0.0014,20.0000,100,0.0032,,73,,,2025-04-28,2025-05-25,120.48,602.38,0.0021,24.6000,123.0000,0.0037,25.72,114.0000,0.1842,0.0526,-39.48,-0.3277,-197.38,-0.3277,-0.0007,-0.3238,-4.6000,-0.1870,-23.0000,-0.1870,-0.0005,-0.1225,,,-41.0000,-0.3596,,,,
Kingfisher,ac4b1052eb1e709f36c70fd1f6f49be8,66.00,132.00,0.0005,14.0000,28,0.0009,,27,,,2025-04-28,2025-05-25,56.67,170.00,0.0006,12.0000,36.0000,0.0011,,30.0000,0.1000,0.0000,9.33,0.1647,-38.00,-0.2235,-0.0001,-0.2191,2.0000,0.1667,-8.0000,,-0.0002,-0.1602,,,-3.0000,,,,,
