Item,Item id,Item revenue per location,Item revenue,Item revenue percentage,Item volume per location,Item volume,Item volume percentage,Item aov,Item guests,N day item return rate,N day item reorder rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
Garlic Naan,d82b81ee46917a4a06cdfb7736d70417,727.30,3636.48,0.0198,291.8000,1459,0.0694,24.01,1076,0.2138,0.1264,2024-12-02,2024-12-29,741.71,3708.54,0.0187,293.6000,1468.0000,0.0595,21.29,1169.0000,0.2387,0.1240,-14.41,-0.0194,-72.06,-0.0194,0.0011,0.0599,-1.8000,-0.0061,-9.0000,-0.0061,0.0100,0.1675,2.71,0.1275,-93.0000,-0.0796,-0.0249,-0.1044,0.0024,0.0190
Naan,29f3e38343ae99ac5524ed1ddb2b1d6e,311.48,1557.40,0.0085,160.6000,803,0.0382,26.37,551,0.2432,0.1180,2024-12-02,2024-12-29,230.72,1153.62,0.0058,114.8000,574.0000,0.0233,21.59,450.0000,0.2244,0.1044,80.76,0.3500,403.78,0.3500,0.0027,0.4592,45.8000,0.3990,229.0000,0.3990,0.0150,0.6434,4.79,0.2218,101.0000,0.2244,0.0187,0.0835,0.0135,0.1295
Burrito,19dfcc1e39e0cab78562faa5ab55adbb,213.69,1068.45,0.0058,17.6000,88,0.0042,,77,0.2857,0.0779,2024-12-02,2024-12-29,151.42,757.10,0.0038,12.6000,63.0000,0.0026,,55.0000,0.1818,0.0545,62.27,0.4112,311.35,0.4112,0.0020,0.5253,5.0000,0.3968,25.0000,,0.0016,0.6407,,,22.0000,,0.1039,0.5714,0.0234,0.4286
Spindrift - Grapefruit,7eb389cafb173c3fe430a2ef7af062b5,60.03,300.16,0.0016,21.8000,109,0.0052,23.20,95,0.1158,0.0316,2024-12-02,2024-12-29,91.65,458.26,0.0023,32.6000,163.0000,0.0066,21.43,151.0000,0.1987,0.0464,-31.62,-0.3450,-158.10,-0.3450,-0.0007,-0.2920,-10.8000,-0.3313,-54.0000,-0.3313,-0.0014,-0.2144,1.77,0.0825,-56.0000,-0.3709,-0.0829,-0.4172,-0.0148,-0.3188
USHOR Bowl,25ffdb49a398fa0d4dccb7d664b8f116,2881.83,2881.83,0.0157,192.0000,192,0.0091,,0,0.0000,0.0000,2024-12-02,2024-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eurest Mango Lassi,d87057232036bef6add8e36635d0fa32,132.00,132.00,0.0007,22.0000,22,0.0010,,0,0.0000,0.0000,2024-12-02,2024-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kids BYO,66c163b662cda637cb2478e2112386c7,513.31,2566.57,0.0140,71.4000,357,0.0170,23.83,263,0.2243,0.1711,2024-12-02,2024-12-29,480.03,2400.17,0.0121,69.4000,347.0000,0.0141,24.22,253.0000,0.2530,0.1779,33.28,0.0693,166.40,0.0693,0.0019,0.1558,2.0000,0.0288,10.0000,0.0288,0.0029,0.2086,-0.40,-0.0163,10.0000,0.0395,-0.0286,-0.1132,-0.0068,-0.0380
Olipop - Root Beer,c16064aeb99eec0b8f7e38e0536ef4cd,59.78,239.13,0.0013,16.2500,65,0.0031,,57,0.2982,0.1053,2024-12-02,2024-12-29,85.31,426.54,0.0021,24.0000,120.0000,0.0049,24.68,107.0000,0.1776,0.0654,-25.53,-0.2992,-187.41,-0.4394,-0.0008,-0.3940,-7.7500,-0.3229,-55.0000,-0.4583,-0.0018,-0.3637,,,-50.0000,-0.4673,0.1207,0.6796,0.0398,0.6090
Maine Root Fountain Soda,53b139407870a7205e24a64b2ccf9eb2,302.77,1211.09,0.0066,96.0000,384,0.0183,23.20,310,0.1548,0.0645,2024-12-02,2024-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greens + Grains Bowl,3a65db2934efc6fe92bd7535047b7ae0,978.21,4891.04,0.0266,82.0000,410,0.0195,18.78,329,0.3404,0.1702,2024-12-02,2024-12-29,1520.19,7600.96,0.0383,129.6000,648.0000,0.0262,17.16,516.0000,0.3275,0.1453,-541.98,-0.3565,-2709.92,-0.3565,-0.0117,-0.3045,-47.6000,-0.3673,-238.0000,-0.3673,-0.0067,-0.2567,1.62,0.0947,-187.0000,-0.3624,0.0129,0.0394,0.0249,0.1711
Kingfisher,ac4b1052eb1e709f36c70fd1f6f49be8,55.50,111.00,0.0006,11.5000,23,0.0011,,21,0.1905,0.0476,2024-12-02,2024-12-29,37.67,113.00,0.0006,8.0000,24.0000,0.0010,,23.0000,0.1739,0.0870,17.83,0.4735,-2.00,-0.0177,0.0000,0.0617,3.5000,0.4375,-1.0000,,0.0001,0.1255,,,-2.0000,,0.0166,0.0952,-0.0393,-0.4524
Wild Kombucha - Ginger,2800f7ea017d47701691d95876ecd531,49.72,248.58,0.0014,11.4000,57,0.0027,,46,0.1304,0.0000,2024-12-02,2024-12-29,73.90,369.50,0.0019,15.4000,77.0000,0.0031,,65.0000,0.2308,0.1231,-24.18,-0.3273,-120.92,-0.3273,-0.0005,-0.2729,-4.0000,-0.2597,-20.0000,,-0.0004,-0.1305,,,-19.0000,,-0.1003,-0.4348,-0.1231,-1.0000
HUNGRY Veggies,790365c0e6600906c1f142ecd0da1b51,258.00,258.00,0.0014,12.0000,12,0.0006,,0,0.0000,0.0000,2024-12-02,2024-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Tikka + Avocado Salad,0728e0a55ce8f942b4f93af58819db09,574.13,2870.65,0.0156,47.0000,235,0.0112,24.20,175,0.2343,0.1086,2024-12-02,2024-12-29,827.98,4139.90,0.0209,69.0000,345.0000,0.0140,21.92,303.0000,0.2013,0.0594,-253.85,-0.3066,-1269.25,-0.3066,-0.0052,-0.2505,-22.0000,-0.3188,-110.0000,-0.3188,-0.0028,-0.1999,2.28,0.1040,-128.0000,-0.4224,0.0330,0.1637,0.0492,0.8276
