Item,Item id,Item revenue per location,Item revenue,Item revenue percentage,Item volume per location,Item volume,Item volume percentage,Item aov,Item guests,N day item return rate,N day item reorder rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
Samosa Trays,c9ee468eff9c16101eb4b29cad6c5048,40.40,40.40,0.0002,2.0000,2,0.0001,,1,0.0000,0.0000,2024-12-02,2024-12-29,24.90,24.90,0.0001,1.0000,1.0000,0.0000,,0.0000,0.0000,0.0000,15.50,0.6225,15.50,,0.0001,0.7537,1.0000,1.0000,1.0000,,0.0001,1.3171,,,1.0000,,0.0000,0.0000,0.0000,0.0000
Spicy Chili Chicken Bowl,f69c4f89d02ed8113b95711324f0c441,2685.40,13426.98,0.0731,211.4000,1057,0.0503,22.05,816,0.2635,0.1385,2024-12-02,2024-12-29,2778.44,13892.20,0.0700,239.4000,1197.0000,0.0485,20.43,962.0000,0.2713,0.1403,-93.04,-0.0335,-465.22,-0.0335,0.0031,0.0447,-28.0000,-0.1170,-140.0000,-0.1170,0.0018,0.0373,1.62,0.0793,-146.0000,-0.1518,-0.0078,-0.0289,-0.0019,-0.0132
Mango Lassi Soft Serve,5fcf149c10ea2c92c14aac3f08472cf1,32.89,98.67,0.0005,8.0000,24,0.0011,,17,0.2941,0.0588,2024-12-02,2024-12-29,169.29,846.43,0.0043,42.2000,211.0000,0.0085,14.12,142.0000,0.1901,0.0423,-136.40,-0.8057,-747.76,-0.8834,-0.0037,-0.8740,-34.2000,-0.8104,-187.0000,-0.8863,-0.0074,-0.8664,,,-125.0000,-0.8803,0.1040,0.5468,0.0166,0.3922
Side of Grain,343ce46c5489f43ec64a165e5323783f,14.40,72.00,0.0004,5.0000,25,0.0012,,19,0.1579,0.1053,2024-12-02,2024-12-29,19.26,96.30,0.0005,6.6000,33.0000,0.0013,,25.0000,0.3600,0.2000,-4.86,-0.2523,-24.30,,-0.0001,-0.1919,-1.6000,-0.2424,-8.0000,,-0.0001,-0.1099,,,-6.0000,,-0.2021,-0.5614,-0.0947,-0.4737
Open Water Still Water,924a62abf03e0973f0882c9bc80cf78d,74.32,371.62,0.0020,27.2000,136,0.0065,19.77,107,0.1495,0.0561,2024-12-02,2024-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masala Chai Cookies,25a7af37faf799e0226041f2b0b2e282,114.35,571.73,0.0031,51.8000,259,0.0123,62.71,172,0.2093,0.0640,2024-12-02,2024-12-29,158.64,793.18,0.0040,88.8000,444.0000,0.0180,17.82,253.0000,0.2767,0.1225,-44.29,-0.2792,-221.45,-0.2792,-0.0009,-0.2209,-37.0000,-0.4167,-185.0000,-0.4167,-0.0057,-0.3147,44.89,2.5188,-81.0000,-0.3202,-0.0674,-0.2435,-0.0586,-0.4781
Chicken Tikka Burrito,0ce9930d26d4eadb01c2e82930e01443,38.15,114.45,0.0006,5.6667,17,0.0008,,8,0.0000,0.0000,2024-12-02,2024-12-29,948.31,4741.57,0.0239,87.2000,436.0000,0.0177,20.55,366.0000,0.2705,0.0902,-910.16,-0.9598,-4627.12,-0.9759,-0.0233,-0.9739,-81.5333,-0.9350,-419.0000,-0.9610,-0.0169,-0.9542,,,-358.0000,-0.9781,-0.2705,-1.0000,-0.0902,-1.0000
Spicy Chicken Burrito,0f9c19dd694d3299d402c77c69c32f52,43.00,215.00,0.0012,3.8000,19,0.0009,,15,0.1333,0.0667,2024-12-02,2024-12-29,600.18,3000.92,0.0151,50.2000,251.0000,0.0102,21.93,214.0000,0.2290,0.1028,-557.18,-0.9284,-2785.92,-0.9284,-0.0140,-0.9226,-46.4000,-0.9243,-232.0000,-0.9243,-0.0093,-0.9111,,,-199.0000,-0.9299,-0.0956,-0.4177,-0.0361,-0.3515
Territory Coconut Curry Beef,0cfc6c1e1d140ee28906140b54a114ec,290.50,290.50,0.0016,35.0000,35,0.0017,,0,0.0000,0.0000,2024-12-02,2024-12-29,207.50,207.50,0.0010,25.0000,25.0000,0.0010,,0.0000,0.0000,0.0000,83.00,0.4000,83.00,0.4000,0.0005,0.5132,10.0000,0.4000,10.0000,,0.0007,0.6436,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Paneer Butter Masala,529fd125fd5bc47236ae9c0242d971ee,320.06,1600.30,0.0087,26.8000,134,0.0064,30.35,113,0.1681,0.0354,2024-12-02,2024-12-29,12.65,12.65,0.0001,1.0000,1.0000,0.0000,,1.0000,0.0000,0.0000,307.41,24.3012,1587.65,,0.0087,135.7345,25.8000,25.8000,133.0000,,0.0063,154.5122,,,112.0000,,0.1681,0.0000,0.0354,0.0000
Open Water Sparkling Water,bd334657d0647a944bf877236ce1ddf7,27.60,138.00,0.0008,11.0000,55,0.0026,,41,0.1220,0.0488,2024-12-02,2024-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Claw Black Cherry,38b9ffa29cdac00821757c471bef44e2,13.00,13.00,0.0001,3.0000,3,0.0001,,3,0.3333,0.0000,2024-12-02,2024-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samosa Chaat,ed1b49254bb3de73aa66c7b747f245fd,290.46,1452.32,0.0079,55.2000,276,0.0131,19.24,224,0.2009,0.1116,2024-12-02,2024-12-29,258.83,1294.15,0.0065,47.6000,238.0000,0.0096,21.57,213.0000,0.2770,0.1221,31.63,0.1222,158.17,0.1222,0.0014,0.2130,7.6000,0.1597,38.0000,0.1597,0.0035,0.3622,-2.33,-0.1082,11.0000,0.0516,-0.0761,-0.2747,-0.0105,-0.0857
Icaro - Spearmint Yerba Mate,aa7243ca6f400ffe510c9bf89cf96707,32.31,161.55,0.0009,7.6000,38,0.0018,,30,0.2667,0.1000,2024-12-02,2024-12-29,76.41,382.05,0.0019,17.4000,87.0000,0.0035,,82.0000,0.2195,0.0610,-44.10,-0.5771,-220.50,-0.5771,-0.0010,-0.5430,-9.8000,-0.5632,-49.0000,,-0.0017,-0.4869,,,-52.0000,,0.0472,0.2148,0.0390,0.6400
Spiked Lassi,848bdd83bf207aa9ceca2927f4112998,17.50,70.00,0.0004,2.2500,9,0.0004,,9,0.1111,0.1111,2024-12-02,2024-12-29,77.02,385.10,0.0019,9.6000,48.0000,0.0019,,40.0000,0.1750,0.0500,-59.52,-0.7728,-315.10,-0.8182,-0.0016,-0.8035,-7.3500,-0.7656,-39.0000,,-0.0015,-0.7798,,,-31.0000,,-0.0639,-0.3651,0.0611,1.2222
Side of Sauce,32614679d8cded9c7fb9f39d0de52643,17.85,71.40,0.0004,3.7500,15,0.0007,,13,0.1538,0.0000,2024-12-02,2024-12-29,10.20,51.00,0.0003,2.0000,10.0000,0.0004,,9.0000,0.3333,0.0000,7.65,0.7500,20.40,,0.0001,0.5132,1.7500,0.8750,5.0000,,0.0003,0.7630,,,4.0000,,-0.1795,-0.5385,0.0000,0.0000
Borsao Granache-gl,998ea9ae9225821e59f21b9bc4cbfe56,12.60,63.00,0.0003,1.8000,9,0.0004,,9,0.1111,0.1111,2024-12-02,2024-12-29,14.00,42.00,0.0002,2.0000,6.0000,0.0002,,6.0000,0.0000,0.0000,-1.40,-0.1000,21.00,,0.0001,0.6213,-0.2000,-0.1000,3.0000,,0.0002,0.7613,,,3.0000,,0.1111,0.0000,0.1111,0.0000
That Fire Hot Sauce (Bottle),7ae3bbc205a3328f25e2d5981234643d,12.60,63.00,0.0003,1.4000,7,0.0003,,7,0.4286,0.0000,2024-12-02,2024-12-29,42.79,213.97,0.0011,5.0000,25.0000,0.0010,,18.0000,0.5556,0.0000,-30.19,-0.7056,-150.97,-0.7056,-0.0007,-0.6818,-3.6000,-0.7200,-18.0000,,-0.0007,-0.6713,,,-11.0000,,-0.1270,-0.2286,0.0000,0.0000
Shutdown Bowl - Chicken,d10e49e5f512ada3eb96b325186e33cd,25.00,75.00,0.0004,2.6667,8,0.0004,,8,0.0000,0.0000,2024-12-02,2024-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fooda Aramark Eurest Masala Chai Cookies,99f7266c90ada61b8b7d53f6da93de65,7.50,15.00,0.0001,3.0000,6,0.0003,,0,0.0000,0.0000,2024-12-02,2024-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aramark Harvest Vegetables Bowl,9688e7194cb1feea9d2b1d125e3ac3c5,41.58,41.58,0.0002,3.0000,3,0.0001,,0,0.0000,0.0000,2024-12-02,2024-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Territory Sesame Peanut Noodle,4b6d98a10d0fb75d660e034ff484a476,269.18,269.18,0.0015,43.0000,43,0.0020,,0,0.0000,0.0000,2024-12-02,2024-12-29,400.64,400.64,0.0020,64.0000,64.0000,0.0026,,0.0000,0.0000,0.0000,-131.46,-0.3281,-131.46,-0.3281,-0.0006,-0.2738,-21.0000,-0.3281,-21.0000,,-0.0005,-0.2106,,,0.0000,,0.0000,0.0000,0.0000,0.0000
HUNGRY BYO Chicken Tikka Bowl,98f78c1284b00cc23dfc5cd33cdba7a8,322.00,322.00,0.0018,28.0000,28,0.0013,,0,0.0000,0.0000,2024-12-02,2024-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side of Main,03d76c3a768e84f8c0bbad2f13d4188a,71.79,358.96,0.0020,12.4000,62,0.0029,,51,0.3333,0.1176,2024-12-02,2024-12-29,69.32,346.61,0.0017,11.6000,58.0000,0.0023,,45.0000,0.5111,0.2222,2.47,0.0356,12.35,0.0356,0.0002,0.1194,0.8000,0.0690,4.0000,,0.0006,0.2559,,,6.0000,,-0.1778,-0.3478,-0.1046,-0.4706
Vanilla Mango Lassi Soft Serve,7d7ff21d8d65e0aec403985229bec204,53.71,268.55,0.0015,18.4000,92,0.0044,,50,0.2000,0.1000,2024-12-02,2024-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aramark Spicy Chicken Bowl,e5e070ba3de69a0c6db58c04cda5d8f3,2674.80,2674.80,0.0146,180.0000,180,0.0086,,0,0.0000,0.0000,2024-12-02,2024-12-29,222.90,222.90,0.0011,15.0000,15.0000,0.0006,,0.0000,0.0000,0.0000,2451.90,11.0000,2451.90,11.0000,0.0134,11.9703,165.0000,11.0000,165.0000,,0.0080,13.0872,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Roti,c939c164798efd50698e30c2a594b2d4,4.50,4.50,0.0000,3.0000,3,0.0001,,3,0.3333,0.0000,2024-12-02,2024-12-29,2.25,4.50,0.0000,1.5000,3.0000,0.0001,,3.0000,0.0000,0.0000,2.25,1.0000,0.00,,0.0000,0.0809,1.5000,1.0000,0.0000,,0.0000,0.1721,,,0.0000,,0.3333,0.0000,0.0000,0.0000
Mini Samosas,adb32f1bdc98ccdf3a40e53c1eb1948f,566.80,2834.02,0.0154,232.0000,1160,0.0552,21.15,873,0.2646,0.1329,2024-12-02,2024-12-29,696.55,3482.76,0.0176,276.4000,1382.0000,0.0560,20.31,1071.0000,0.2437,0.1232,-129.75,-0.1863,-648.74,-0.1863,-0.0021,-0.1205,-44.4000,-0.1606,-222.0000,-0.1606,-0.0008,-0.0140,0.84,0.0416,-198.0000,-0.1849,0.0209,0.0858,0.0096,0.0781
Olipop - Cola,4d0b025abdd9a6e15ab6db940ec09ec9,88.56,265.69,0.0014,24.0000,72,0.0034,,61,0.1475,0.0328,2024-12-02,2024-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swirl Soft Serve,5c81ddf65ea7d6a47fd8bbbc27c484aa,43.55,174.19,0.0009,10.0000,40,0.0019,,22,0.3182,0.0909,2024-12-02,2024-12-29,51.40,257.00,0.0013,12.4000,62.0000,0.0025,,49.0000,0.2041,0.0612,-7.85,-0.1528,-82.81,-0.3222,-0.0003,-0.2674,-2.4000,-0.1935,-22.0000,,-0.0006,-0.2421,,,-27.0000,,0.1141,0.5591,0.0297,0.4849
Salad Bowl,12e1c60082e99443f0803dea36bcfd1e,190.06,950.32,0.0052,14.6000,73,0.0035,,61,0.4754,0.1639,2024-12-02,2024-12-29,531.04,2655.22,0.0134,44.8000,224.0000,0.0091,18.65,184.0000,0.3967,0.0924,-340.98,-0.6421,-1704.90,-0.6421,-0.0082,-0.6132,-30.2000,-0.6741,-151.0000,-0.6741,-0.0056,-0.6171,,,-123.0000,-0.6685,0.0787,0.1983,0.0715,0.7744
Spindrift - Lemon,9c741ccf6f8529297f729b75ce83a4f6,71.98,359.90,0.0020,25.4000,127,0.0060,24.20,107,0.2523,0.1308,2024-12-02,2024-12-29,71.66,358.28,0.0018,25.4000,127.0000,0.0051,20.90,122.0000,0.1721,0.0410,0.32,0.0045,1.62,0.0045,0.0002,0.0857,0.0000,0.0000,0.0000,0.0000,0.0009,0.1748,3.31,0.1583,-15.0000,-0.1230,0.0802,0.4660,0.0899,2.1925
Pabst Blue Ribbon,3027374bc15bcfd99f44f32db083bebf,40.00,40.00,0.0002,11.0000,11,0.0005,,6,0.3333,0.3333,2024-12-02,2024-12-29,7.00,7.00,0.0000,2.0000,2.0000,0.0001,,2.0000,0.0000,0.0000,33.00,4.7143,33.00,,0.0002,5.1763,9.0000,4.5000,9.0000,,0.0004,5.4568,,,4.0000,,0.3333,0.0000,0.3333,0.0000
Gift Card,e9baacf6e24fcad141d621243a818dcb,75.00,300.00,0.0016,2.0000,8,0.0004,,8,0.2500,0.0000,2024-12-02,2024-12-29,20.00,60.00,0.0003,1.3333,4.0000,0.0002,,3.0000,0.3333,0.0000,55.00,2.7500,240.00,,0.0013,4.4043,0.6667,0.5000,4.0000,,0.0002,1.3519,,,5.0000,,-0.0833,-0.2500,0.0000,0.0000
Chips + Chutney,405726360fa559701e5084184da18f6a,5.00,15.00,0.0001,1.6667,5,0.0002,,5,0.4000,0.0000,2024-12-02,2024-12-29,44.58,222.89,0.0011,14.4000,72.0000,0.0029,,65.0000,0.2923,0.1231,-39.58,-0.8878,-207.89,-0.9327,-0.0010,-0.9273,-12.7333,-0.8843,-67.0000,,-0.0027,-0.9184,,,-60.0000,,0.1077,0.3684,-0.1231,-1.0000
Aramark Lamb Bowl,6e3e799a4f29f2f1d4705368c65c296e,1056.00,1056.00,0.0058,64.0000,64,0.0030,,0,0.0000,0.0000,2024-12-02,2024-12-29,132.00,132.00,0.0007,8.0000,8.0000,0.0003,,0.0000,0.0000,0.0000,924.00,7.0000,924.00,7.0000,0.0051,7.6468,56.0000,7.0000,56.0000,,0.0027,8.3981,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Eurest Premium Bowl,105e6e46e27685dcafd676eb7f082ec9,450.80,450.80,0.0025,28.0000,28,0.0013,,0,0.0000,0.0000,2024-12-02,2024-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Territory Ginger Curry Beef with Lemon Rice,038d29e5df63b8025e2c131c47b2cca1,185.64,185.64,0.0010,21.0000,21,0.0010,,0,0.0000,0.0000,2024-12-02,2024-12-29,300.56,300.56,0.0015,34.0000,34.0000,0.0014,,0.0000,0.0000,0.0000,-114.92,-0.3824,-114.92,-0.3824,-0.0005,-0.3324,-13.0000,-0.3824,-13.0000,,-0.0004,-0.2745,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Butter Chicken Burrito,037d8e4f48a3c66db8eaff8a4770bc84,1502.41,7512.06,0.0409,125.0000,625,0.0297,23.51,510,0.1902,0.1000,2024-12-02,2024-12-29,1468.26,7341.29,0.0370,136.8000,684.0000,0.0277,19.92,577.0000,0.2132,0.0832,34.15,0.0233,170.77,0.0233,0.0039,0.1060,-11.8000,-0.0863,-59.0000,-0.0863,0.0020,0.0734,3.59,0.1803,-67.0000,-0.1161,-0.0230,-0.1078,0.0168,0.2021
Bag,f6b5ab5a96e017f867590689d1e594a0,0.23,0.45,0.0000,22.5000,45,0.0021,,43,0.5581,0.1163,2024-12-02,2024-12-29,-0.01,-0.05,-0.0000,2.2500,9.0000,0.0004,,9.0000,0.1111,0.0000,0.24,-19.0000,0.50,,0.0000,-10.7277,20.2500,9.0000,36.0000,,0.0018,4.8658,,,34.0000,,0.4470,4.0233,0.1163,0.0000
Iced Oat Masala Chai,4b20ca2314d50af8a833d825f8497f0e,50.88,203.50,0.0011,10.0000,40,0.0019,,34,0.1471,0.0000,2024-12-02,2024-12-29,117.52,587.58,0.0030,26.8000,134.0000,0.0054,17.92,103.0000,0.2136,0.0485,-66.64,-0.5671,-384.08,-0.6537,-0.0019,-0.6257,-16.8000,-0.6269,-94.0000,-0.7015,-0.0035,-0.6494,,,-69.0000,-0.6699,-0.0665,-0.3115,-0.0485,-1.0000
Add Value ($),f989fc1d5515ba6c3910d405bc24c3f9,125.00,125.00,0.0007,3.0000,3,0.0001,,3,0.3333,0.0000,2024-12-02,2024-12-29,45.00,45.00,0.0002,2.0000,2.0000,0.0001,,2.0000,0.5000,0.0000,80.00,1.7778,80.00,,0.0005,2.0024,1.0000,0.5000,1.0000,,0.0001,0.7654,,,1.0000,,-0.1667,-0.3333,0.0000,0.0000
Indaba Sauvignon Blanc-gl,c95747c2f48508d23228980862fbc7ec,8.00,16.00,0.0001,1.0000,2,0.0001,,2,0.0000,0.0000,2024-12-02,2024-12-29,26.33,79.00,0.0004,3.6667,11.0000,0.0004,,9.0000,0.1111,0.0000,-18.33,-0.6962,-63.00,,-0.0003,-0.7811,-2.6667,-0.7273,-9.0000,,-0.0004,-0.7870,,,-7.0000,,-0.1111,-1.0000,0.0000,0.0000
Premium Options Upcharge,d487fb8c91d04496604d78d6feff327c,1007.00,2014.00,0.0110,1.0000,2,0.0001,,1,0.0000,0.0000,2024-12-02,2024-12-29,2.51,2.51,0.0000,2.0000,2.0000,0.0001,,2.0000,0.5000,0.0000,1004.49,400.1952,2011.49,,0.0110,866.2674,-1.0000,-0.5000,0.0000,,0.0000,0.1728,,,-1.0000,,-0.5000,-1.0000,0.0000,0.0000
HUNGRY Grains,b67b1b2b7a9bd2b0c3164da711efaaf0,320.00,320.00,0.0017,12.0000,12,0.0006,,0,0.0000,0.0000,2024-12-02,2024-12-29,75.00,75.00,0.0004,5.0000,5.0000,0.0002,,0.0000,0.0000,0.0000,245.00,3.2667,245.00,,0.0014,3.6116,7.0000,1.4000,7.0000,,0.0004,1.8128,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Masala Chai - Oat Milk,d1d6cda5119313e3fecde5947361fe9f,82.00,410.00,0.0022,17.0000,85,0.0040,,69,0.2754,0.0580,2024-12-02,2024-12-29,131.28,656.41,0.0033,35.8000,179.0000,0.0073,17.20,133.0000,0.2707,0.1053,-49.28,-0.3754,-246.41,-0.3754,-0.0011,-0.3249,-18.8000,-0.5251,-94.0000,-0.5251,-0.0032,-0.4421,,,-64.0000,-0.4812,0.0047,0.0173,-0.0473,-0.4493
Lamb Kebab Bowl,e67440b5f094175ee64ce831322fe016,1108.04,5540.20,0.0302,84.2000,421,0.0200,24.29,355,0.2254,0.1042,2024-12-02,2024-12-29,1257.86,6289.30,0.0317,102.2000,511.0000,0.0207,23.23,447.0000,0.1790,0.0537,-149.82,-0.1191,-749.10,-0.1191,-0.0015,-0.0479,-18.0000,-0.1761,-90.0000,-0.1761,-0.0007,-0.0322,1.06,0.0455,-92.0000,-0.2058,0.0464,0.2592,0.0505,0.9412
Harvest Chicken Bowl,9fc12ff30ff414536e6f6d0bf1d8c0ef,7.10,35.52,0.0002,3.0000,15,0.0007,,4,0.7500,0.0000,2024-12-02,2024-12-29,583.10,2915.51,0.0147,52.6000,263.0000,0.0107,19.96,224.0000,0.2232,0.0625,-576.00,-0.9878,-2879.99,-0.9878,-0.0145,-0.9868,-49.6000,-0.9430,-248.0000,-0.9430,-0.0099,-0.9330,,,-220.0000,-0.9821,0.5268,2.3600,-0.0625,-1.0000
Mont Gravet Rose-gl,164ba12383ac667eb06ece5c9fccfefd,10.67,32.00,0.0002,1.3333,4,0.0002,,3,0.0000,0.0000,2024-12-02,2024-12-29,13.59,40.77,0.0002,2.0000,6.0000,0.0002,,5.0000,0.0000,0.0000,-2.92,-0.2151,-8.77,,-0.0000,-0.1516,-0.6667,-0.3333,-2.0000,,-0.0001,-0.2181,,,-2.0000,,0.0000,0.0000,0.0000,0.0000
White Claw Ruby Grapefruit,05177b7de4ad14b1affb6d7163cd33cf,8.00,8.00,0.0000,2.0000,2,0.0001,,2,0.5000,0.0000,2024-12-02,2024-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNGRY Chutneys + Dressings,891121449b5ee0d83dcf43d35180c4fa,45.00,45.00,0.0002,5.0000,5,0.0002,,0,0.0000,0.0000,2024-12-02,2024-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
