Item,Item id,Item revenue per location,Item revenue,Item revenue percentage,Item volume per location,Item volume,Item volume percentage,Item aov,Item guests,N day item return rate,N day item reorder rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
Chicken Tikka Bowl,19eee3ab8ae56d4fa56ef6ce1485693d,8386.81,41934.04,0.1467,754.0000,3770,0.1190,18.88,2843,0.2803,0.1692,2024-09-02,2024-09-29,5750.09,28750.45,0.1095,509.8000,2549.0000,0.0838,20.25,2155.0000,0.2422,0.1434,2636.72,0.4586,13183.59,0.4586,0.0372,0.3392,244.2000,0.4790,1221.0000,0.4790,0.0352,0.4198,-1.37,-0.0677,688.0000,0.3193,0.0381,0.1573,0.0258,0.1799
Side of Grain,343ce46c5489f43ec64a165e5323783f,21.83,109.15,0.0004,7.6000,38,0.0012,,34,0.2353,0.0882,2024-09-02,2024-09-29,27.41,137.04,0.0005,9.6000,48.0000,0.0016,,40.0000,0.3000,0.1500,-5.58,-0.2035,-27.89,-0.2035,-0.0001,-0.2687,-2.0000,-0.2083,-10.0000,,-0.0004,-0.2402,,,-6.0000,,-0.0647,-0.2157,-0.0618,-0.4118
Aramark Lamb Bowl,6e3e799a4f29f2f1d4705368c65c296e,792.00,792.00,0.0028,48.0000,48,0.0015,,0,0.0000,0.0000,2024-09-02,2024-09-29,2013.00,2013.00,0.0077,122.0000,122.0000,0.0040,,0.0000,0.0000,0.0000,-1221.00,-0.6066,-1221.00,-0.6066,-0.0049,-0.6387,-74.0000,-0.6066,-74.0000,-0.6066,-0.0025,-0.6223,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Chicken Tikka Burrito,0ce9930d26d4eadb01c2e82930e01443,56.76,170.28,0.0006,4.6667,14,0.0004,,14,0.1429,0.0000,2024-09-02,2024-09-29,1512.19,7560.93,0.0288,134.0000,670.0000,0.0220,21.46,590.0000,0.2339,0.0949,-1455.43,-0.9625,-7390.65,-0.9775,-0.0282,-0.9793,-129.3333,-0.9652,-656.0000,-0.9791,-0.0216,-0.9799,,,-576.0000,-0.9763,-0.0910,-0.3892,-0.0949,-1.0000
Gift Card,e9baacf6e24fcad141d621243a818dcb,550.00,1100.00,0.0038,21.5000,43,0.0014,,2,0.0000,0.0000,2024-09-02,2024-09-29,80.00,80.00,0.0003,3.0000,3.0000,0.0001,,1.0000,0.0000,0.0000,470.00,5.8750,1020.00,,0.0035,11.6251,18.5000,6.1667,40.0000,,0.0013,12.7071,,,1.0000,,0.0000,0.0000,0.0000,0.0000
Territory Coconut Curry Beef,0cfc6c1e1d140ee28906140b54a114ec,298.80,298.80,0.0010,36.0000,36,0.0011,,0,0.0000,0.0000,2024-09-02,2024-09-29,332.00,332.00,0.0013,40.0000,40.0000,0.0013,,0.0000,0.0000,0.0000,-33.20,-0.1000,-33.20,-0.1000,-0.0002,-0.1736,-4.0000,-0.1000,-4.0000,,-0.0002,-0.1361,,,0.0000,,0.0000,0.0000,0.0000,0.0000
HUNGRY BYO Cauliflower & Potato Bowl,5ef40fa5b725328d79dc949b816ab4c5,630.00,630.00,0.0022,60.0000,60,0.0019,,0,0.0000,0.0000,2024-09-02,2024-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swirl Soft Serve,5c81ddf65ea7d6a47fd8bbbc27c484aa,70.00,350.00,0.0012,18.0000,90,0.0028,,63,0.2381,0.0794,2024-09-02,2024-09-29,136.70,683.52,0.0026,27.4000,137.0000,0.0045,10.99,115.0000,0.2435,0.1304,-66.70,-0.4879,-333.52,-0.4879,-0.0014,-0.5298,-9.4000,-0.3431,-47.0000,-0.3431,-0.0017,-0.3694,,,-52.0000,-0.4522,-0.0054,-0.0221,-0.0511,-0.3915
Saag Paneer,b2e5e331828a4748468e0853ec4d1f52,599.64,2998.20,0.0105,44.4000,222,0.0070,28.09,213,0.2254,0.0704,2024-09-02,2024-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naan,29f3e38343ae99ac5524ed1ddb2b1d6e,405.44,2027.21,0.0071,200.0000,1000,0.0316,24.91,733,0.2374,0.1173,2024-09-02,2024-09-29,316.88,1584.41,0.0060,152.8000,764.0000,0.0251,22.12,640.0000,0.2391,0.1281,88.56,0.2795,442.80,0.2795,0.0011,0.1748,47.2000,0.3089,236.0000,0.3089,0.0064,0.2565,2.79,0.1263,93.0000,0.1453,-0.0017,-0.0070,-0.0108,-0.0843
