Item,Item id,Item revenue per location,Item revenue,Item revenue percentage,Item volume per location,Item volume,Item volume percentage,Item aov,Item guests,N day item return rate,N day item reorder rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
Paneer Butter Masala,529fd125fd5bc47236ae9c0242d971ee,272.90,1364.50,0.0075,24.0000,120,0.0059,24.49,95,0.2316,0.0526,2025-01-27,2025-02-23,0.00,0.00,0.0000,1.0000,1.0000,0.0000,,0.0000,0.0000,0.0000,272.90,0.0000,1364.50,,0.0075,0.0000,23.0000,23.0000,119.0000,,0.0058,126.6739,,,95.0000,,0.2316,0.0000,0.0526,0.0000
Harvest Chicken Bowl,9fc12ff30ff414536e6f6d0bf1d8c0ef,12.25,36.75,0.0002,2.0000,6,0.0003,,3,0.0000,0.0000,2025-01-27,2025-02-23,446.08,2230.40,0.0123,37.0000,185.0000,0.0084,21.51,168.0000,0.2917,0.0893,-433.83,-0.9725,-2193.65,-0.9835,-0.0121,-0.9837,-35.0000,-0.9459,-179.0000,-0.9676,-0.0082,-0.9652,,,-165.0000,-0.9821,-0.2917,-1.0000,-0.0893,-1.0000
Mont Gravet Rose-gl,164ba12383ac667eb06ece5c9fccfefd,13.00,26.00,0.0001,2.0000,4,0.0002,,3,0.0000,0.0000,2025-01-27,2025-02-23,14.40,43.20,0.0002,2.0000,6.0000,0.0003,,6.0000,0.3333,0.0000,-1.40,-0.0972,-17.20,,-0.0001,-0.4036,0.0000,0.0000,-2.0000,,-0.0001,-0.2847,,,-3.0000,,-0.3333,-1.0000,0.0000,0.0000
Aramark Marriott Extra Spicy Chicken,3c2fceeb1e4c49958990d4b1194d4f52,10.98,10.98,0.0001,2.0000,2,0.0001,,0,0.0000,0.0000,2025-01-27,2025-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cureate Tandoori Paneer Bowl,3376356ad89c194dbaf7fc90d8adb7a5,229.80,229.80,0.0013,20.0000,20,0.0010,,0,0.0000,0.0000,2025-01-27,2025-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aramark Marriott Extra Harvest Veggies,4295b38b8db3be07ece999d1a27464c6,18.30,18.30,0.0001,5.0000,5,0.0002,,0,0.0000,0.0000,2025-01-27,2025-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Tikka + Avocado Salad,0728e0a55ce8f942b4f93af58819db09,639.50,3197.50,0.0175,52.0000,260,0.0127,22.02,199,0.2161,0.1156,2025-01-27,2025-02-23,698.03,3490.16,0.0193,57.8000,289.0000,0.0132,21.64,256.0000,0.2266,0.0703,-58.53,-0.0839,-292.66,-0.0839,-0.0018,-0.0922,-5.8000,-0.1003,-29.0000,-0.1003,-0.0005,-0.0355,0.38,0.0178,-57.0000,-0.2227,-0.0105,-0.0463,0.0453,0.6438
Naan,29f3e38343ae99ac5524ed1ddb2b1d6e,241.81,1209.03,0.0066,125.4000,627,0.0307,21.30,503,0.2505,0.1233,2025-01-27,2025-02-23,195.83,979.13,0.0054,99.8000,499.0000,0.0228,20.08,392.0000,0.3061,0.1403,45.98,0.2348,229.90,0.2348,0.0012,0.2236,25.6000,0.2565,128.0000,0.2565,0.0079,0.3471,1.21,0.0603,111.0000,0.2832,-0.0556,-0.1817,-0.0170,-0.1215
Cucumber Raita,b6aef261062648a464a75abf3a88d636,40.20,201.00,0.0011,15.0000,75,0.0037,,58,0.2586,0.1207,2025-01-27,2025-02-23,27.66,138.30,0.0008,9.8000,49.0000,0.0022,,43.0000,0.2791,0.0930,12.54,0.4534,62.70,0.4534,0.0003,0.4401,5.2000,0.5306,26.0000,,0.0014,0.6406,,,15.0000,,-0.0204,-0.0733,0.0277,0.2974
Aramark Harvest Vegetables Bowl,9688e7194cb1feea9d2b1d125e3ac3c5,263.34,263.34,0.0014,19.0000,19,0.0009,,0,0.0000,0.0000,2025-01-27,2025-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aloo Gobhi,d64c6c4491b32b7ee357a93508b45c4f,206.38,825.50,0.0045,15.7500,63,0.0031,,56,0.1786,0.0714,2025-01-27,2025-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingfisher,ac4b1052eb1e709f36c70fd1f6f49be8,38.00,76.00,0.0004,8.0000,16,0.0008,,15,0.2000,0.0000,2025-01-27,2025-02-23,46.00,92.00,0.0005,9.5000,19.0000,0.0009,,18.0000,0.2222,0.0556,-8.00,-0.1739,-16.00,,-0.0001,-0.1814,-1.5000,-0.1579,-3.0000,,-0.0001,-0.0969,,,-3.0000,,-0.0222,-0.1000,-0.0556,-1.0000
HUNGRY BYO Chicken Tikka Bowl,98f78c1284b00cc23dfc5cd33cdba7a8,4278.00,4278.00,0.0234,372.0000,372,0.0182,,0,0.0000,0.0000,2025-01-27,2025-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aramark Chicken Bowl,9cf0f29fbbe6a8aa70f146f26519c16b,5155.92,5155.92,0.0283,372.0000,372,0.0182,,0,0.0000,0.0000,2025-01-27,2025-02-23,3035.34,3035.34,0.0168,219.0000,219.0000,0.0100,,0.0000,0.0000,0.0000,2120.58,0.6986,2120.58,0.6986,0.0115,0.6832,153.0000,0.6986,153.0000,0.6986,0.0082,0.8210,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Pabst Blue Ribbon,3027374bc15bcfd99f44f32db083bebf,25.00,25.00,0.0001,7.0000,7,0.0003,,3,1.0000,0.0000,2025-01-27,2025-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aramark Marriott Tandoori Paneer Bowl,3f8951b8e0b2a47d7de013a64ea174a2,392.00,392.00,0.0021,25.0000,25,0.0012,,0,0.0000,0.0000,2025-01-27,2025-02-23,282.14,282.14,0.0016,18.0000,18.0000,0.0008,,0.0000,0.0000,0.0000,109.86,0.3894,109.86,0.3894,0.0006,0.3767,7.0000,0.3889,7.0000,,0.0004,0.4878,,,0.0000,,0.0000,0.0000,0.0000,0.0000
