Item,Item id,Item revenue per location,Item revenue,Item revenue percentage,Item volume per location,Item volume,Item volume percentage,Item aov,Item guests,N day item return rate,N day item reorder rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
White Claw Black Cherry - Happy Hour,fe497a6fac9f4e838914884d99b98607,7.60,7.60,0.0000,2.0000,2,0.0001,,2,,,2025-03-31,2025-04-27,28.00,28.00,0.0001,7.0000,7.0000,0.0002,,6.0000,0.0000,0.0000,-20.40,-0.7286,-20.40,,-0.0001,-0.7135,-5.0000,-0.7143,-5.0000,,-0.0001,-0.6784,,,-4.0000,,,,,
Territory Ginger Curry Beef with Lemon Rice,038d29e5df63b8025e2c131c47b2cca1,238.68,238.68,0.0008,27.0000,27,0.0009,,0,,,2025-03-31,2025-04-27,123.76,123.76,0.0004,14.0000,14.0000,0.0004,,0.0000,0.0000,0.0000,114.92,0.9286,114.92,0.9286,0.0004,1.0358,13.0000,0.9286,13.0000,,0.0005,1.1583,,,0.0000,,,,,
Territory Spicy Peanut Noodle Bowl,f32b2b8ca579af2c075862176a0ea7a2,287.37,287.37,0.0010,31.0000,31,0.0010,,0,,,2025-03-31,2025-04-27,648.90,648.90,0.0022,70.0000,70.0000,0.0020,,0.0000,0.0000,0.0000,-361.53,-0.5571,-361.53,-0.5571,-0.0012,-0.5325,-39.0000,-0.5571,-39.0000,,-0.0010,-0.5050,,,0.0000,,,,,
Pabst Blue Ribbon,3027374bc15bcfd99f44f32db083bebf,12.00,12.00,0.0000,3.0000,3,0.0001,,2,,,2025-03-31,2025-04-27,16.00,16.00,0.0001,5.0000,5.0000,0.0001,,4.0000,0.2500,0.0000,-4.00,-0.2500,-4.00,,-0.0000,-0.2083,-2.0000,-0.4000,-2.0000,,-0.0000,-0.3310,,,-2.0000,,,,,
Masala Chai Cookies,25a7af37faf799e0226041f2b0b2e282,193.00,965.00,0.0034,93.0000,465,0.0148,52.17,305,,,2025-03-31,2025-04-27,266.00,1329.99,0.0044,138.0000,690.0000,0.0196,80.11,352.0000,0.2642,0.0852,-73.00,-0.2744,-364.99,-0.2744,-0.0010,-0.2341,-45.0000,-0.3261,-225.0000,-0.3261,-0.0048,-0.2469,-27.94,-0.3488,-47.0000,-0.1335,,,,
Butter Chicken Burrito,037d8e4f48a3c66db8eaff8a4770bc84,2621.23,13106.13,0.0462,211.0000,1055,0.0336,23.16,913,,,2025-03-31,2025-04-27,1816.75,9083.77,0.0303,163.6000,818.0000,0.0233,21.23,725.0000,0.1945,0.0883,804.47,0.4428,4022.36,0.4428,0.0159,0.5231,47.4000,0.2897,237.0000,0.2897,0.0103,0.4414,1.93,0.0912,188.0000,0.2593,,,,
Spindrift - Lemon,9c741ccf6f8529297f729b75ce83a4f6,129.15,645.74,0.0023,47.2000,236,0.0075,23.09,202,,,2025-03-31,2025-04-27,161.91,809.53,0.0027,57.8000,289.0000,0.0082,23.01,244.0000,0.1680,0.0533,-32.76,-0.2023,-163.79,-0.2023,-0.0004,-0.1580,-10.6000,-0.1834,-53.0000,-0.1834,-0.0007,-0.0873,0.08,0.0034,-42.0000,-0.1721,,,,
Garlic Naan,d82b81ee46917a4a06cdfb7736d70417,925.70,4628.49,0.0163,388.0000,1940,0.0617,22.97,1474,,,2025-03-31,2025-04-27,863.59,4317.96,0.0144,338.0000,1690.0000,0.0481,23.23,1336.0000,0.2201,0.1153,62.11,0.0719,310.53,0.0719,0.0019,0.1315,50.0000,0.1479,250.0000,0.1479,0.0136,0.2829,-0.26,-0.0111,138.0000,0.1033,,,,
Spicy Chicken Burrito,0f9c19dd694d3299d402c77c69c32f52,91.40,457.00,0.0016,7.2000,36,0.0011,,31,,,2025-03-31,2025-04-27,849.73,4248.65,0.0142,66.8000,334.0000,0.0095,25.43,302.0000,0.1722,0.0596,-758.33,-0.8924,-3791.65,-0.8924,-0.0126,-0.8865,-59.6000,-0.8922,-298.0000,-0.8922,-0.0084,-0.8795,,,-271.0000,-0.8974,,,,
Side of Veggie,2bf13144a231acbd18bd6f39bace242a,50.18,250.90,0.0009,10.0000,50,0.0016,,47,,,2025-03-31,2025-04-27,55.42,277.12,0.0009,11.2000,56.0000,0.0016,,34.0000,0.3824,0.1471,-5.24,-0.0946,-26.22,-0.0946,-0.0000,-0.0443,-1.2000,-0.1071,-6.0000,,-0.0000,-0.0025,,,13.0000,,,,,
