Item,Item id,Item revenue per location,Item revenue,Item revenue percentage,Item volume per location,Item volume,Item volume percentage,Item aov,Item guests,N day item return rate,N day item reorder rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
Garlic Naan,d82b81ee46917a4a06cdfb7736d70417,728.27,3641.37,0.0185,300.2000,1501,0.0669,22.55,1097,0.2133,0.1212,2024-12-30,2025-01-26,603.70,3018.52,0.0164,238.8000,1194.0000,0.0552,22.58,956.0000,0.2448,0.1318,124.57,0.2063,622.85,0.2063,0.0021,0.1252,61.4000,0.2571,307.0000,0.2571,0.0117,0.2113,-0.03,-0.0012,141.0000,0.1475,-0.0315,-0.1285,-0.0106,-0.0801
Saag Paneer,b2e5e331828a4748468e0853ec4d1f52,455.37,2276.85,0.0116,34.4000,172,0.0077,28.85,153,0.2418,0.0784,2024-12-30,2025-01-26,11.65,34.95,0.0002,1.3333,4.0000,0.0002,,2.0000,1.0000,0.0000,443.72,38.0876,2241.90,,0.0114,59.7649,33.0667,24.8000,168.0000,,0.0075,40.4378,,,151.0000,,-0.7582,-0.7582,0.0784,0.0000
Chicken Tikka Burrito,0ce9930d26d4eadb01c2e82930e01443,70.54,352.70,0.0018,6.8000,34,0.0015,,24,0.4167,0.0000,2024-12-30,2025-01-26,763.32,3816.62,0.0208,69.2000,346.0000,0.0160,21.94,299.0000,0.2274,0.1037,-692.78,-0.9076,-3463.92,-0.9076,-0.0190,-0.9138,-62.4000,-0.9017,-312.0000,-0.9017,-0.0145,-0.9053,,,-275.0000,-0.9197,0.1892,0.8321,-0.1037,-1.0000
Territory Spiced Sweet Potato,8225388c3fe824cb6d91feda36d711cb,310.00,310.00,0.0016,40.0000,40,0.0018,,0,0.0000,0.0000,2024-12-30,2025-01-26,767.25,767.25,0.0042,99.0000,99.0000,0.0046,,0.0000,0.0000,0.0000,-457.25,-0.5960,-457.25,-0.5960,-0.0026,-0.6231,-59.0000,-0.5960,-59.0000,,-0.0028,-0.6106,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Premium Options Upcharge,d487fb8c91d04496604d78d6feff327c,10.48,20.96,0.0001,1.5000,3,0.0001,,2,0.0000,0.0000,2024-12-30,2025-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eurest APL Bowl,ff79c027d1167e4e0bfde60ed13c1428,340.86,340.86,0.0017,23.0000,23,0.0010,,0,0.0000,0.0000,2024-12-30,2025-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC Brau Pils,2a37fc9d4800d991427805654631c096,16.10,80.50,0.0004,3.4000,17,0.0008,,17,0.0000,0.0000,2024-12-30,2025-01-26,25.67,77.00,0.0004,4.3333,13.0000,0.0006,,12.0000,0.2500,0.0833,-9.57,-0.3727,3.50,,-0.0000,-0.0249,-0.9333,-0.2154,4.0000,,0.0002,0.2612,,,5.0000,,-0.2500,-1.0000,-0.0833,-1.0000
Borsao Granache-gl,998ea9ae9225821e59f21b9bc4cbfe56,15.00,45.00,0.0002,2.0000,6,0.0003,,6,0.0000,0.0000,2024-12-30,2025-01-26,14.00,42.00,0.0002,2.0000,6.0000,0.0003,,6.0000,0.3333,0.0000,1.00,0.0714,3.00,,-0.0000,-0.0006,0.0000,0.0000,0.0000,,-0.0000,-0.0396,,,0.0000,,-0.3333,-1.0000,0.0000,0.0000
Pabst Blue Ribbon,3027374bc15bcfd99f44f32db083bebf,20.00,20.00,0.0001,5.0000,5,0.0002,,2,0.5000,0.5000,2024-12-30,2025-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homemade Juice,d6f19fa56665e191989db7a893806ea1,469.36,2346.78,0.0119,157.2000,786,0.0350,21.23,600,0.2633,0.1417,2024-12-30,2025-01-26,595.16,2975.82,0.0162,208.0000,1040.0000,0.0481,22.03,800.0000,0.2500,0.1475,-125.81,-0.2114,-629.04,-0.2114,-0.0043,-0.2644,-50.8000,-0.2442,-254.0000,-0.2442,-0.0131,-0.2718,-0.81,-0.0365,-200.0000,-0.2500,0.0133,0.0533,-0.0058,-0.0395
