Item,Item id,Item revenue per location,Item revenue,Item revenue percentage,Item volume per location,Item volume,Item volume percentage,Item aov,Item guests,N day item return rate,N day item reorder rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
USHOR Bowl,25ffdb49a398fa0d4dccb7d664b8f116,2145.00,2145.00,0.0081,143.0000,143,0.0047,,0,0.0000,0.0000,2024-10-28,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spindrift - Lemon,9c741ccf6f8529297f729b75ce83a4f6,149.57,747.86,0.0028,51.6000,258,0.0085,25.49,218,0.1789,0.0917,2024-10-28,2024-12-01,98.55,492.76,0.0017,35.2000,176.0000,0.0055,22.45,160.0000,0.1187,0.0375,51.02,0.5177,255.10,0.5177,0.0011,0.6655,16.4000,0.4659,82.0000,0.4659,0.0030,0.5404,3.04,0.1355,58.0000,0.3625,0.0601,0.5065,0.0542,1.4465
Shutdown Bowl - Chicken,d10e49e5f512ada3eb96b325186e33cd,570.51,2852.57,0.0107,57.0000,285,0.0093,15.45,245,0.2327,0.0653,2024-10-28,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate Chai Soft Serve,78655f7be72fdfe241f44722d389b9a0,79.00,395.00,0.0015,18.6000,93,0.0030,,67,0.2836,0.0746,2024-10-28,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aramark Chicken Bowl,9cf0f29fbbe6a8aa70f146f26519c16b,4629.24,4629.24,0.0174,334.0000,334,0.0109,,0,0.0000,0.0000,2024-10-28,2024-12-01,2855.16,5710.32,0.0196,206.0000,412.0000,0.0128,,0.0000,0.0000,0.0000,1774.08,0.6214,-1081.08,-0.1893,-0.0022,-0.1104,128.0000,0.6214,-78.0000,-0.1893,-0.0019,-0.1482,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Aramark Harvest Vegetables Bowl,9688e7194cb1feea9d2b1d125e3ac3c5,235.62,235.62,0.0009,17.0000,17,0.0006,,0,0.0000,0.0000,2024-10-28,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bag,f6b5ab5a96e017f867590689d1e594a0,0.20,0.39,0.0000,19.5000,39,0.0013,,38,0.3421,0.0263,2024-10-28,2024-12-01,-0.08,-0.15,-0.0000,2.0000,4.0000,0.0001,,3.0000,0.3333,0.0000,0.27,-3.6000,0.54,,0.0000,-3.8531,17.5000,8.7500,35.0000,,0.0012,9.2240,,,35.0000,,0.0088,0.0263,0.0263,0.0000
Paneer Butter Masala,529fd125fd5bc47236ae9c0242d971ee,540.60,2703.00,0.0102,42.4000,212,0.0069,26.61,190,0.1316,0.0368,2024-10-28,2024-12-01,17.48,34.95,0.0001,1.5000,3.0000,0.0001,,3.0000,0.3333,0.0000,523.12,29.9356,2668.05,,0.0100,83.8688,40.9000,27.2667,209.0000,,0.0069,72.8830,,,187.0000,,-0.2018,-0.6053,0.0368,0.0000
Butter Chicken,9c31e042dca639957d77cf56d13f5e1d,2355.05,11775.25,0.0443,168.0000,840,0.0275,27.13,740,0.1419,0.0703,2024-10-28,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Kombucha - Mango Peach,c5637f01dae60eb3ac82016ed498641e,81.90,409.50,0.0015,17.0000,85,0.0028,,76,0.2368,0.0526,2024-10-28,2024-12-01,119.75,598.75,0.0021,24.6000,123.0000,0.0038,23.63,110.0000,0.2545,0.0818,-37.85,-0.3161,-189.25,-0.3161,-0.0005,-0.2495,-7.6000,-0.3089,-38.0000,-0.3089,-0.0010,-0.2738,,,-34.0000,-0.3091,-0.0177,-0.0695,-0.0292,-0.3567
Spicy Chicken Burrito,0f9c19dd694d3299d402c77c69c32f52,87.40,437.00,0.0016,7.8000,39,0.0013,,30,0.2667,0.1333,2024-10-28,2024-12-01,877.16,4385.79,0.0150,70.2000,351.0000,0.0109,23.05,295.0000,0.2780,0.1254,-789.76,-0.9004,-3948.79,-0.9004,-0.0134,-0.8907,-62.4000,-0.8889,-312.0000,-0.8889,-0.0097,-0.8832,,,-265.0000,-0.8983,-0.0113,-0.0406,0.0079,0.0631
Aramark Tandoori Paneer Bowl,5632e59bde719e60562d9ae604b2d427,1039.14,1039.14,0.0039,69.0000,69,0.0023,,0,0.0000,0.0000,2024-10-28,2024-12-01,903.60,903.60,0.0031,60.0000,60.0000,0.0019,,0.0000,0.0000,0.0000,135.54,0.1500,135.54,0.1500,0.0008,0.2620,9.0000,0.1500,9.0000,,0.0004,0.2079,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Homemade Juice,d6f19fa56665e191989db7a893806ea1,580.63,2903.15,0.0109,195.4000,977,0.0320,22.31,740,0.2189,0.1216,2024-10-28,2024-12-01,1106.96,5534.82,0.0190,375.2000,1876.0000,0.0585,21.80,1472.0000,0.2262,0.1250,-526.33,-0.4755,-2631.67,-0.4755,-0.0080,-0.4244,-179.8000,-0.4792,-899.0000,-0.4792,-0.0265,-0.4528,0.51,0.0234,-732.0000,-0.4973,-0.0073,-0.0323,-0.0034,-0.0270
Chicken Tikka Bowl,19eee3ab8ae56d4fa56ef6ce1485693d,7553.61,37768.04,0.1419,681.8000,3409,0.1117,18.53,2542,0.2455,0.1408,2024-10-28,2024-12-01,5760.23,28801.13,0.0986,511.0000,2555.0000,0.0797,19.84,2154.0000,0.2298,0.1360,1793.38,0.3113,8966.91,0.3113,0.0433,0.4390,170.8000,0.3342,854.0000,0.3342,0.0320,0.4020,-1.31,-0.0660,388.0000,0.1801,0.0157,0.0682,0.0048,0.0353
Olipop - Root Beer,c16064aeb99eec0b8f7e38e0536ef4cd,104.28,521.39,0.0020,28.8000,144,0.0047,27.08,123,0.1545,0.0488,2024-10-28,2024-12-01,98.03,490.14,0.0017,27.4000,137.0000,0.0043,22.87,127.0000,0.1260,0.0394,6.25,0.0638,31.25,0.0638,0.0003,0.1673,1.4000,0.0511,7.0000,0.0511,0.0004,0.1044,4.21,0.1841,-4.0000,-0.0315,0.0285,0.2261,0.0094,0.2390
HUNGRY Veggies,790365c0e6600906c1f142ecd0da1b51,440.00,440.00,0.0017,20.0000,20,0.0007,,0,0.0000,0.0000,2024-10-28,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Water Sparkling Water,bd334657d0647a944bf877236ce1ddf7,37.50,150.00,0.0006,18.0000,72,0.0024,,37,0.1081,0.0811,2024-10-28,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salad Bowl,12e1c60082e99443f0803dea36bcfd1e,294.17,1470.84,0.0055,23.4000,117,0.0038,17.42,96,0.4271,0.1667,2024-10-28,2024-12-01,619.10,3095.50,0.0106,47.4000,237.0000,0.0074,19.93,215.0000,0.3767,0.0791,-324.93,-0.5248,-1624.66,-0.5248,-0.0051,-0.4786,-24.0000,-0.5063,-120.0000,-0.5063,-0.0036,-0.4813,-2.51,-0.1259,-119.0000,-0.5535,0.0503,0.1336,0.0876,1.1078
Olipop - Cola,4d0b025abdd9a6e15ab6db940ec09ec9,42.50,127.50,0.0005,12.6667,38,0.0012,,28,0.0714,0.0357,2024-10-28,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mont Gravet Rose-gl,164ba12383ac667eb06ece5c9fccfefd,11.50,23.00,0.0001,2.0000,4,0.0001,,3,0.3333,0.0000,2024-10-28,2024-12-01,16.33,49.00,0.0002,2.6667,8.0000,0.0002,,7.0000,0.2857,0.1429,-4.83,-0.2959,-26.00,,-0.0001,-0.4849,-0.6667,-0.2500,-4.0000,,-0.0001,-0.4739,,,-4.0000,,0.0476,0.1667,-0.1429,-1.0000
Territory Spicy Peanut Noodle Bowl,f32b2b8ca579af2c075862176a0ea7a2,342.99,342.99,0.0013,37.0000,37,0.0012,,0,0.0000,0.0000,2024-10-28,2024-12-01,648.90,648.90,0.0022,70.0000,70.0000,0.0022,,0.0000,0.0000,0.0000,-305.91,-0.4714,-305.91,-0.4714,-0.0009,-0.4200,-33.0000,-0.4714,-33.0000,,-0.0010,-0.4445,,,0.0000,,0.0000,0.0000,0.0000,0.0000
USHOR Mango Lassi,08d5196165a772f3132e80aadba27b4d,66.00,66.00,0.0002,11.0000,11,0.0004,,0,0.0000,0.0000,2024-10-28,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Territory Ginger Curry Beef with Supergrains,926269fff309d3493adcd0c3c74f4f9e,276.08,276.08,0.0010,34.0000,34,0.0011,,0,0.0000,0.0000,2024-10-28,2024-12-01,56.84,56.84,0.0002,7.0000,7.0000,0.0002,,0.0000,0.0000,0.0000,219.24,3.8571,219.24,,0.0008,4.3300,27.0000,3.8571,27.0000,,0.0009,4.1101,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Garlic Naan,d82b81ee46917a4a06cdfb7736d70417,1018.98,5094.89,0.0191,403.6000,2018,0.0661,22.90,1540,0.1883,0.1149,2024-10-28,2024-12-01,977.52,4887.59,0.0167,384.0000,1920.0000,0.0599,22.54,1534.0000,0.2177,0.1310,41.46,0.0424,207.30,0.0424,0.0024,0.1439,19.6000,0.0510,98.0000,0.0510,0.0063,0.1044,0.36,0.0160,6.0000,0.0039,-0.0294,-0.1351,-0.0161,-0.1228
Vanilla Mango Lassi Soft Serve,7d7ff21d8d65e0aec403985229bec204,137.99,689.95,0.0026,36.0000,180,0.0059,12.87,112,0.2411,0.0625,2024-10-28,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masala Chai,65f3d39b3b905d8708692e1987f25b8f,225.33,1126.63,0.0042,46.8000,234,0.0077,23.54,173,0.1561,0.0520,2024-10-28,2024-12-01,152.77,763.85,0.0026,40.6000,203.0000,0.0063,17.93,156.0000,0.1923,0.0513,72.56,0.4749,362.78,0.4749,0.0016,0.6185,6.2000,0.1527,31.0000,0.1527,0.0013,0.2112,5.61,0.3131,17.0000,0.1090,-0.0362,-0.1884,0.0007,0.0144
Side of Grain,343ce46c5489f43ec64a165e5323783f,28.20,141.00,0.0005,9.4000,47,0.0015,,32,0.1875,0.0938,2024-10-28,2024-12-01,34.92,174.60,0.0006,12.2000,61.0000,0.0019,,44.0000,0.3636,0.1364,-6.72,-0.1924,-33.60,-0.1924,-0.0001,-0.1138,-2.8000,-0.2295,-14.0000,,-0.0004,-0.1903,,,-12.0000,,-0.1761,-0.4844,-0.0426,-0.3125
Kingfisher,ac4b1052eb1e709f36c70fd1f6f49be8,34.33,103.00,0.0004,7.0000,21,0.0007,,16,0.1250,0.0625,2024-10-28,2024-12-01,35.67,107.00,0.0004,8.3333,25.0000,0.0008,,22.0000,0.0909,0.0000,-1.33,-0.0374,-4.00,-0.0374,0.0000,0.0563,-1.3333,-0.1600,-4.0000,,-0.0001,-0.1168,,,-6.0000,,0.0341,0.3750,0.0625,0.0000
Side of Sauce,32614679d8cded9c7fb9f39d0de52643,16.32,81.60,0.0003,3.2000,16,0.0005,,15,0.0667,0.0000,2024-10-28,2024-12-01,12.24,61.20,0.0002,2.6000,13.0000,0.0004,,11.0000,0.0909,0.0909,4.08,0.3333,20.40,,0.0001,0.4631,0.6000,0.2308,3.0000,,0.0001,0.2938,,,4.0000,,-0.0242,-0.2667,-0.0909,-1.0000
Territory Spiced Sweet Potato,8225388c3fe824cb6d91feda36d711cb,279.00,279.00,0.0010,36.0000,36,0.0012,,0,0.0000,0.0000,2024-10-28,2024-12-01,1356.25,1356.25,0.0046,175.0000,175.0000,0.0055,,0.0000,0.0000,0.0000,-1077.25,-0.7943,-1077.25,-0.7943,-0.0036,-0.7743,-139.0000,-0.7943,-139.0000,-0.7943,-0.0043,-0.7839,,,0.0000,,0.0000,0.0000,0.0000,0.0000
LaCroix - Lime,faf62b12fed0aaa5f2949360cbaacec8,2.85,5.70,0.0000,1.0000,2,0.0001,,2,0.0000,0.0000,2024-10-28,2024-12-01,81.85,409.25,0.0014,29.6000,148.0000,0.0046,25.57,137.0000,0.1606,0.0438,-79.00,-0.9652,-403.55,-0.9861,-0.0014,-0.9847,-28.6000,-0.9662,-146.0000,-0.9865,-0.0045,-0.9857,,,-135.0000,-0.9854,-0.1606,-1.0000,-0.0438,-1.0000
Lamb Kebab Bowl,e67440b5f094175ee64ce831322fe016,1646.31,8231.56,0.0309,125.0000,625,0.0205,24.46,516,0.2035,0.0795,2024-10-28,2024-12-01,1673.65,8368.27,0.0287,123.8000,619.0000,0.0193,25.34,565.0000,0.1858,0.0602,-27.34,-0.0163,-136.71,-0.0163,0.0023,0.0794,1.2000,0.0097,6.0000,0.0097,0.0012,0.0609,-0.89,-0.0350,-49.0000,-0.0867,0.0176,0.0950,0.0193,0.3204
Chips + Chutney,405726360fa559701e5084184da18f6a,12.00,36.00,0.0001,4.0000,12,0.0004,,9,0.4444,0.0000,2024-10-28,2024-12-01,48.00,240.02,0.0008,15.6000,78.0000,0.0024,,67.0000,0.1791,0.1194,-36.00,-0.7500,-204.02,-0.8500,-0.0007,-0.8354,-11.6000,-0.7436,-66.0000,,-0.0020,-0.8384,,,-58.0000,,0.2653,1.4815,-0.1194,-1.0000
That Fire Hot Sauce - Side,14e40e9f01921c00a883fd7cd5d5130f,2.50,7.50,0.0000,5.0000,15,0.0005,,10,0.3000,0.0000,2024-10-28,2024-12-01,2.16,10.82,0.0000,4.4000,22.0000,0.0007,,15.0000,0.3333,0.1333,0.34,0.1553,-3.32,,-0.0000,-0.2394,0.6000,0.1364,-7.0000,,-0.0002,-0.2843,,,-5.0000,,-0.0333,-0.1000,-0.1333,-1.0000
Mumbai Mule,67d1bfb9997e4b071ac784559db138e7,65.00,65.00,0.0002,8.0000,8,0.0003,,7,0.0000,0.0000,2024-10-28,2024-12-01,64.80,324.00,0.0011,7.8000,39.0000,0.0012,,32.0000,0.1875,0.0625,0.20,0.0031,-259.00,-0.7994,-0.0009,-0.7799,0.2000,0.0256,-31.0000,,-0.0010,-0.7845,,,-25.0000,,-0.1875,-1.0000,-0.0625,-1.0000
Taher BYO Bowl,305b3b4dca5c4f3b6a809f97b0473c3b,1350.00,1350.00,0.0051,90.0000,90,0.0029,,0,0.0000,0.0000,2024-10-28,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNGRY Mains,74e7de0f09101a7be561b5d3d3058564,2515.00,2515.00,0.0095,38.0000,38,0.0012,,0,0.0000,0.0000,2024-10-28,2024-12-01,850.00,850.00,0.0029,27.0000,27.0000,0.0008,,0.0000,0.0000,0.0000,1665.00,1.9588,1665.00,1.9588,0.0065,2.2469,11.0000,0.4074,11.0000,,0.0004,0.4786,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Territory Ginger Curry Beef with Lemon Rice,038d29e5df63b8025e2c131c47b2cca1,114.92,114.92,0.0004,13.0000,13,0.0004,,0,0.0000,0.0000,2024-10-28,2024-12-01,406.64,406.64,0.0014,46.0000,46.0000,0.0014,,0.0000,0.0000,0.0000,-291.72,-0.7174,-291.72,-0.7174,-0.0010,-0.6899,-33.0000,-0.7174,-33.0000,,-0.0010,-0.7029,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Grain Bowl,8f1eb7b733a778fa96d20356d25b7acb,11141.38,55706.92,0.2094,900.2000,4501,0.1474,18.78,3200,0.2772,0.2091,2024-10-28,2024-12-01,15347.02,76735.09,0.2628,1237.0000,6185.0000,0.1928,18.91,4389.0000,0.2741,0.2119,-4205.63,-0.2740,-21028.17,-0.2740,-0.0534,-0.2034,-336.8000,-0.2723,-1684.0000,-0.2723,-0.0454,-0.2353,-0.14,-0.0072,-1189.0000,-0.2709,0.0031,0.0113,-0.0028,-0.0134
Tandoori Paneer Burrito,4c8c37c969bd13578ef2d13e11781bd9,719.79,3598.96,0.0135,57.0000,285,0.0093,24.29,249,0.1687,0.0562,2024-10-28,2024-12-01,611.06,3055.31,0.0105,48.6000,243.0000,0.0076,24.50,215.0000,0.1860,0.0837,108.73,0.1779,543.65,0.1779,0.0031,0.2926,8.4000,0.1728,42.0000,0.1728,0.0018,0.2323,-0.21,-0.0086,34.0000,0.1581,-0.0174,-0.0934,-0.0275,-0.3284
