Item,Item id,Item revenue per location,Item revenue,Item revenue percentage,Item volume per location,Item volume,Item volume percentage,Item aov,Item guests,N day item return rate,N day item reorder rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
Butter Chicken Burrito,037d8e4f48a3c66db8eaff8a4770bc84,621.25,3106.24,0.0229,46.8000,234,0.0172,35.15,94,0.3617,0.2660,2024-09-30,2024-10-27,276.94,1384.71,0.0076,24.0000,120.0000,0.0065,28.13,68.0000,0.4412,0.2206,344.31,1.2432,1721.53,1.2432,0.0153,1.9995,22.8000,0.9500,114.0000,0.9500,0.0107,1.6300,7.02,0.2495,26.0000,,-0.0795,-0.1801,0.0454,0.2057
Chicken Tikka Bowl,19eee3ab8ae56d4fa56ef6ce1485693d,5439.39,27196.95,0.2006,426.4000,2132,0.1566,30.63,295,0.4305,0.3220,2024-09-30,2024-10-27,7303.50,36517.49,0.2014,608.4000,3042.0000,0.1657,34.51,369.0000,0.4417,0.2981,-1864.11,-0.2552,-9320.54,-0.2552,-0.0008,-0.0041,-182.0000,-0.2991,-910.0000,-0.2991,-0.0091,-0.0547,-3.88,-0.1125,-74.0000,-0.2005,-0.0112,-0.0254,0.0239,0.0803
Masala Chai,65f3d39b3b905d8708692e1987f25b8f,43.10,215.51,0.0016,8.8000,44,0.0032,,10,0.3000,0.1000,2024-09-30,2024-10-27,5.97,29.84,0.0002,2.0000,10.0000,0.0005,,9.0000,0.5556,0.0000,37.13,6.2222,185.67,,0.0014,8.6571,6.8000,3.4000,34.0000,,0.0027,4.9321,,,1.0000,,-0.2556,-0.4600,0.1000,0.0000
Mango Lassi,612a2d386edc9534c9b0c2d1c8cb2290,446.59,2232.93,0.0165,85.4000,427,0.0314,39.64,77,0.4805,0.2468,2024-09-30,2024-10-27,543.41,2717.06,0.0150,119.6000,598.0000,0.0326,38.47,129.0000,0.3721,0.2171,-96.83,-0.1782,-484.13,-0.1782,0.0015,0.0989,-34.2000,-0.2860,-171.0000,-0.2860,-0.0012,-0.0369,1.18,0.0306,-52.0000,-0.4031,0.1084,0.2914,0.0297,0.1368
Wild Kombucha - Ginger,2800f7ea017d47701691d95876ecd531,30.00,150.00,0.0011,6.0000,30,0.0022,,1,1.0000,0.0000,2024-09-30,2024-10-27,27.84,139.22,0.0008,5.6000,28.0000,0.0015,,5.0000,0.4000,0.0000,2.16,0.0774,10.78,0.0774,0.0003,0.4407,0.4000,0.0714,2.0000,,0.0007,0.4452,,,-4.0000,,0.6000,1.5000,0.0000,0.0000
Spindrift - Lemon,9c741ccf6f8529297f729b75ce83a4f6,26.97,134.85,0.0010,9.2000,46,0.0034,,4,0.0000,0.0000,2024-09-30,2024-10-27,4.75,14.25,0.0001,1.6667,5.0000,0.0003,,0.0000,0.0000,0.0000,22.22,4.6779,120.60,,0.0009,11.6536,7.5333,4.5200,41.0000,,0.0031,11.4265,,,4.0000,,0.0000,0.0000,0.0000,0.0000
Grain Bowl,8f1eb7b733a778fa96d20356d25b7acb,2133.59,10667.94,0.0787,164.0000,820,0.0602,26.11,275,0.4764,0.3709,2024-09-30,2024-10-27,3845.17,19225.86,0.1060,306.6000,1533.0000,0.0835,30.26,391.0000,0.4680,0.3657,-1711.58,-0.4451,-8557.92,-0.4451,-0.0274,-0.2581,-142.6000,-0.4651,-713.0000,-0.4651,-0.0233,-0.2786,-4.15,-0.1370,-116.0000,-0.2967,0.0083,0.0178,0.0052,0.0142
Kids Meal,cb80051e1dec09bf436eb1ff54f488f5,279.74,1398.70,0.0103,35.2000,176,0.0129,37.38,58,0.5172,0.2241,2024-09-30,2024-10-27,40.59,162.38,0.0009,5.0000,20.0000,0.0011,,6.0000,0.5000,0.0000,239.14,5.8910,1236.32,7.6137,0.0094,10.5178,30.2000,6.0400,156.0000,,0.0118,10.8742,,,52.0000,,0.0172,0.0345,0.2241,0.0000
Olipop - Root Beer,c16064aeb99eec0b8f7e38e0536ef4cd,17.25,86.25,0.0006,4.6000,23,0.0017,,2,0.5000,0.0000,2024-09-30,2024-10-27,3.65,7.30,0.0000,1.0000,2.0000,0.0001,,0.0000,0.0000,0.0000,13.60,3.7260,78.95,,0.0006,14.7984,3.6000,3.6000,21.0000,,0.0016,14.5046,,,2.0000,,0.5000,0.0000,0.0000,0.0000
Swirl Soft Serve,5c81ddf65ea7d6a47fd8bbbc27c484aa,3.74,18.71,0.0001,1.2000,6,0.0004,,6,0.1667,0.0000,2024-09-30,2024-10-27,10.76,43.05,0.0002,2.7500,11.0000,0.0006,,10.0000,1.0000,0.3000,-7.02,-0.6523,-24.34,,-0.0001,-0.4189,-1.5500,-0.5636,-5.0000,,-0.0002,-0.2638,,,-4.0000,,-0.8333,-0.8333,-0.3000,-1.0000
