Item,Item id,Item revenue per location,Item revenue,Item revenue percentage,Item volume per location,Item volume,Item volume percentage,Item aov,Item guests,N day item return rate,N day item reorder rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
Lamb Kebab Bowl,e67440b5f094175ee64ce831322fe016,1030.66,5153.28,0.0305,71.8000,359,0.0218,42.20,116,0.3707,0.1552,2024-10-28,2024-12-01,1923.95,9619.75,0.0554,135.4000,677.0000,0.0393,49.77,130.0000,0.4154,0.1308,-893.29,-0.4643,-4466.47,-0.4643,-0.0249,-0.4488,-63.6000,-0.4697,-318.0000,-0.4697,-0.0174,-0.4436,-7.57,-0.1521,-14.0000,-0.1077,-0.0447,-0.1076,0.0244,0.1866
Side of Main,03d76c3a768e84f8c0bbad2f13d4188a,158.56,792.82,0.0047,27.8000,139,0.0085,40.07,14,0.4286,0.1429,2024-10-28,2024-12-01,141.65,708.27,0.0041,24.4000,122.0000,0.0071,,25.0000,0.3600,0.1200,16.91,0.1194,84.55,0.1194,0.0006,0.1518,3.4000,0.1393,17.0000,0.1393,0.0014,0.1956,,,-11.0000,,0.0686,0.1905,0.0229,0.1905
Aloo Gobhi,d64c6c4491b32b7ee357a93508b45c4f,207.31,1036.55,0.0061,14.6000,73,0.0044,,26,0.3846,0.1154,2024-10-28,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cauliflower + Quinoa,9e1e06a082e1a9f97e7cde96e99f413d,28.18,28.18,0.0002,2.0000,2,0.0001,,0,0.0000,0.0000,2024-10-28,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spiced Cauli + Quinoa Bowl,1e8e6594ecff87b7c75c081bd791f412,599.47,2997.37,0.0178,47.2000,236,0.0144,39.99,76,0.4211,0.1842,2024-10-28,2024-12-01,535.09,2675.44,0.0154,46.0000,230.0000,0.0133,42.69,85.0000,0.4000,0.1059,64.39,0.1203,321.93,0.1203,0.0024,0.1528,1.2000,0.0261,6.0000,0.0261,0.0010,0.0767,-2.70,-0.0632,-9.0000,,0.0211,0.0526,0.0783,0.7398
Butter Chicken,9c31e042dca639957d77cf56d13f5e1d,3421.70,17108.50,0.1014,223.2000,1116,0.0679,44.23,154,0.2338,0.0714,2024-10-28,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samosa Chaat,ed1b49254bb3de73aa66c7b747f245fd,753.02,3765.12,0.0223,136.2000,681,0.0414,32.86,68,0.5441,0.2794,2024-10-28,2024-12-01,328.31,1641.53,0.0095,62.0000,310.0000,0.0180,36.56,77.0000,0.4416,0.2338,424.72,1.2937,2123.59,1.2937,0.0129,1.3602,74.2000,1.1968,371.0000,1.1968,0.0235,1.3052,-3.70,-0.1013,-9.0000,,0.1026,0.2323,0.0456,0.1953
Open Water Still Water,924a62abf03e0973f0882c9bc80cf78d,21.00,84.00,0.0005,7.5000,30,0.0018,,4,0.0000,0.0000,2024-10-28,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Kombucha - Ginger,2800f7ea017d47701691d95876ecd531,26.25,105.00,0.0006,5.2500,21,0.0013,,1,0.0000,0.0000,2024-10-28,2024-12-01,48.61,243.06,0.0014,9.8000,49.0000,0.0028,,9.0000,0.1111,0.0000,-22.36,-0.4600,-138.06,-0.5680,-0.0008,-0.5555,-4.5500,-0.4643,-28.0000,,-0.0016,-0.5503,,,-8.0000,,-0.1111,-1.0000,0.0000,0.0000
Naan,29f3e38343ae99ac5524ed1ddb2b1d6e,157.05,785.23,0.0047,76.0000,380,0.0231,38.47,72,0.3472,0.1667,2024-10-28,2024-12-01,138.09,690.43,0.0040,68.2000,341.0000,0.0198,49.38,84.0000,0.4048,0.1905,18.96,0.1373,94.80,0.1373,0.0007,0.1703,7.8000,0.1144,39.0000,0.1144,0.0034,0.1694,-10.91,-0.2210,-12.0000,,-0.0575,-0.1422,-0.0238,-0.1250
Sweet Cardamom Yogurt,ce73831089aa1e7767f4bbc5146ccd31,76.25,381.24,0.0023,22.2000,111,0.0068,36.87,11,0.6364,0.3636,2024-10-28,2024-12-01,69.13,345.64,0.0020,23.4000,117.0000,0.0068,38.32,21.0000,0.2381,0.0952,7.12,0.1030,35.60,0.1030,0.0003,0.1350,-1.2000,-0.0513,-6.0000,-0.0513,-0.0000,-0.0044,-1.45,-0.0378,-10.0000,,0.3983,1.6727,0.2684,2.8182
Saag Paneer,b2e5e331828a4748468e0853ec4d1f52,287.16,1435.81,0.0085,20.4000,102,0.0062,,37,0.3243,0.1351,2024-10-28,2024-12-01,81.09,405.43,0.0023,7.2000,36.0000,0.0021,,18.0000,0.3889,0.1111,206.08,2.5414,1030.38,2.5414,0.0062,2.6441,13.2000,1.8333,66.0000,,0.0041,1.9732,,,19.0000,,-0.0646,-0.1660,0.0240,0.2162
That Fire Hot Sauce (Bottle),7ae3bbc205a3328f25e2d5981234643d,19.80,99.00,0.0006,2.2000,11,0.0007,,2,0.5000,0.5000,2024-10-28,2024-12-01,12.94,51.75,0.0003,1.5000,6.0000,0.0003,,2.0000,0.5000,0.0000,6.86,0.5304,47.25,,0.0003,0.9685,0.7000,0.4667,5.0000,,0.0003,0.9224,,,0.0000,,0.0000,0.0000,0.5000,0.0000
Chicken Tikka + Avocado Salad,0728e0a55ce8f942b4f93af58819db09,657.97,3289.87,0.0195,45.6000,228,0.0139,47.82,75,0.4400,0.1867,2024-10-28,2024-12-01,1137.29,5686.45,0.0327,83.6000,418.0000,0.0242,49.72,67.0000,0.3731,0.1791,-479.32,-0.4215,-2396.58,-0.4215,-0.0133,-0.4047,-38.0000,-0.4545,-190.0000,-0.4545,-0.0104,-0.4276,-1.91,-0.0383,8.0000,,0.0669,0.1792,0.0076,0.0422
Paneer Butter Masala,529fd125fd5bc47236ae9c0242d971ee,417.48,2087.41,0.0124,29.2000,146,0.0089,36.30,41,0.2439,0.1707,2024-10-28,2024-12-01,162.71,813.56,0.0047,15.0000,75.0000,0.0043,,31.0000,0.3548,0.1613,254.77,1.5658,1273.85,1.5658,0.0077,1.6402,14.2000,0.9467,71.0000,,0.0045,1.0428,,,10.0000,,-0.1109,-0.3126,0.0094,0.0585
Wild Kombucha - Mango Peach,c5637f01dae60eb3ac82016ed498641e,45.80,228.99,0.0014,9.2000,46,0.0028,,4,0.5000,0.2500,2024-10-28,2024-12-01,40.60,202.98,0.0012,8.2000,41.0000,0.0024,,8.0000,0.2500,0.1250,5.20,0.1281,26.01,0.1281,0.0002,0.1608,1.0000,0.1220,5.0000,,0.0004,0.1775,,,-4.0000,,0.2500,1.0000,0.1250,1.0000
Side of Grain,343ce46c5489f43ec64a165e5323783f,27.45,137.23,0.0008,9.2000,46,0.0028,,10,0.3000,0.0000,2024-10-28,2024-12-01,29.00,145.00,0.0008,10.0000,50.0000,0.0029,,8.0000,0.3750,0.1250,-1.55,-0.0536,-7.77,-0.0536,-0.0000,-0.0261,-0.8000,-0.0800,-4.0000,,-0.0001,-0.0345,,,2.0000,,-0.0750,-0.2000,-0.1250,-1.0000
Mango Lassi Soft Serve,5fcf149c10ea2c92c14aac3f08472cf1,16.77,33.55,0.0002,3.5000,7,0.0004,,7,0.1429,0.0000,2024-10-28,2024-12-01,6.34,19.02,0.0001,2.0000,6.0000,0.0003,,5.0000,0.4000,0.0000,10.43,1.6459,14.53,,0.0001,0.8151,1.5000,0.7500,1.0000,,0.0001,0.2241,,,2.0000,,-0.2571,-0.6429,0.0000,0.0000
Greens + Grains Bowl,3a65db2934efc6fe92bd7535047b7ae0,2617.63,13088.13,0.0776,193.0000,965,0.0587,31.98,248,0.4556,0.3145,2024-10-28,2024-12-01,4205.38,21026.88,0.1211,323.2000,1616.0000,0.0937,32.22,334.0000,0.4102,0.2844,-1587.75,-0.3776,-7938.75,-0.3776,-0.0435,-0.3595,-130.2000,-0.4028,-651.0000,-0.4028,-0.0350,-0.3734,-0.24,-0.0074,-86.0000,-0.2575,0.0455,0.1108,0.0301,0.1058
Icaro - Spearmint Yerba Mate,aa7243ca6f400ffe510c9bf89cf96707,9.00,45.00,0.0003,2.0000,10,0.0006,,3,0.6667,0.0000,2024-10-28,2024-12-01,20.25,81.00,0.0005,4.5000,18.0000,0.0010,,4.0000,0.2500,0.2500,-11.25,-0.5556,-36.00,,-0.0002,-0.4283,-2.5000,-0.5556,-8.0000,,-0.0004,-0.4167,,,-1.0000,,0.4167,1.6667,-0.2500,-1.0000
Masala Chai Soft Serve,18e2ad0e6e8d379c6c5cf8f72a9d1cf8,6.26,12.53,0.0001,1.5000,3,0.0002,,3,0.3333,0.0000,2024-10-28,2024-12-01,9.23,46.15,0.0003,2.4000,12.0000,0.0007,,10.0000,0.6000,0.1000,-2.97,-0.3212,-33.62,,-0.0002,-0.7206,-0.9000,-0.3750,-9.0000,,-0.0005,-0.7371,,,-7.0000,,-0.2667,-0.4444,-0.1000,-1.0000
Iced Oat Masala Chai,4b20ca2314d50af8a833d825f8497f0e,96.76,483.79,0.0029,18.0000,90,0.0055,,16,0.4375,0.0000,2024-10-28,2024-12-01,133.84,669.18,0.0039,28.0000,140.0000,0.0081,45.33,35.0000,0.4000,0.1429,-37.08,-0.2770,-185.39,-0.2770,-0.0010,-0.2561,-10.0000,-0.3571,-50.0000,-0.3571,-0.0026,-0.3255,,,-19.0000,,0.0375,0.0938,-0.1429,-1.0000
Open Water Sparkling Water,bd334657d0647a944bf877236ce1ddf7,15.00,45.00,0.0003,5.3333,16,0.0010,,2,0.5000,0.0000,2024-10-28,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spindrift - Grapefruit,7eb389cafb173c3fe430a2ef7af062b5,22.42,112.10,0.0007,7.6000,38,0.0023,,5,0.2000,0.0000,2024-10-28,2024-12-01,21.09,105.45,0.0006,7.4000,37.0000,0.0021,,8.0000,0.7500,0.2500,1.33,0.0631,6.65,0.0631,0.0001,0.0939,0.2000,0.0270,1.0000,,0.0002,0.0778,,,-3.0000,,-0.5500,-0.7333,-0.2500,-1.0000
