Item,Item id,Item revenue per location,Item revenue,Item revenue percentage,Item volume per location,Item volume,Item volume percentage,Item aov,Item guests,N day item return rate,N day item reorder rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
Cucumber Raita,b6aef261062648a464a75abf3a88d636,61.25,306.23,0.0024,21.0000,105,0.0080,48.66,18,0.2222,0.0556,2024-12-02,2024-12-29,44.12,220.62,0.0016,15.8000,79.0000,0.0057,,28.0000,0.3571,0.1429,17.12,0.3880,85.61,0.3880,0.0007,0.4485,5.2000,0.3291,26.0000,,0.0023,0.4002,,,-10.0000,,-0.1349,-0.3778,-0.0873,-0.6111
Masala Chai Soft Serve,18e2ad0e6e8d379c6c5cf8f72a9d1cf8,6.67,20.00,0.0002,1.6667,5,0.0004,,4,0.2500,0.0000,2024-12-02,2024-12-29,12.54,50.17,0.0004,3.0000,12.0000,0.0009,,11.0000,0.3636,0.0909,-5.88,-0.4685,-30.17,,-0.0002,-0.5840,-1.3333,-0.4444,-7.0000,,-0.0005,-0.5612,,,-7.0000,,-0.1136,-0.3125,-0.0909,-1.0000
Icaro - Spearmint Yerba Mate,aa7243ca6f400ffe510c9bf89cf96707,10.02,40.06,0.0003,2.2500,9,0.0007,,3,0.3333,0.0000,2024-12-02,2024-12-29,21.07,105.36,0.0008,4.8000,24.0000,0.0017,,4.0000,0.7500,0.2500,-11.06,-0.5247,-65.30,-0.6198,-0.0005,-0.6032,-2.5500,-0.5312,-15.0000,,-0.0010,-0.6049,,,-1.0000,,-0.4167,-0.5556,-0.2500,-1.0000
That Fire Hot Sauce (Bottle),7ae3bbc205a3328f25e2d5981234643d,9.00,27.00,0.0002,1.0000,3,0.0002,,1,0.0000,0.0000,2024-12-02,2024-12-29,31.13,124.53,0.0009,3.7500,15.0000,0.0011,,5.0000,0.2000,0.0000,-22.13,-0.7109,-97.53,-0.7832,-0.0007,-0.7737,-2.7500,-0.7333,-12.0000,,-0.0009,-0.7893,,,-4.0000,,-0.2000,-1.0000,0.0000,0.0000
Swirl Soft Serve,5c81ddf65ea7d6a47fd8bbbc27c484aa,12.04,12.04,0.0001,6.0000,6,0.0005,,5,0.6000,0.4000,2024-12-02,2024-12-29,6.71,20.14,0.0002,2.0000,6.0000,0.0004,,6.0000,0.3333,0.1667,5.33,0.7934,-8.10,,-0.0001,-0.3762,4.0000,2.0000,0.0000,,0.0000,0.0531,,,-1.0000,,0.2667,0.8000,0.2333,1.4000
Mini Samosas,adb32f1bdc98ccdf3a40e53c1eb1948f,394.49,1972.45,0.0154,158.4000,792,0.0602,33.75,139,0.4748,0.1870,2024-12-02,2024-12-29,297.12,1485.61,0.0111,120.6000,603.0000,0.0435,37.15,128.0000,0.3984,0.2578,97.37,0.3277,486.84,0.3277,0.0043,0.3855,37.8000,0.3134,189.0000,0.3134,0.0167,0.3837,-3.40,-0.0916,11.0000,0.0859,0.0764,0.1917,-0.0708,-0.2745
Lamb Kebab Bowl,e67440b5f094175ee64ce831322fe016,834.75,4173.75,0.0325,61.0000,305,0.0232,37.99,113,0.4602,0.1504,2024-12-02,2024-12-29,1363.96,6819.78,0.0510,103.2000,516.0000,0.0372,46.00,140.0000,0.4357,0.1357,-529.21,-0.3880,-2646.03,-0.3880,-0.0184,-0.3614,-42.2000,-0.4089,-211.0000,-0.4089,-0.0140,-0.3773,-8.01,-0.1742,-27.0000,-0.1929,0.0245,0.0561,0.0147,0.1085
Masala Chai Cookies,25a7af37faf799e0226041f2b0b2e282,104.59,522.96,0.0041,43.2000,216,0.0164,39.00,24,0.4583,0.0833,2024-12-02,2024-12-29,94.59,472.93,0.0035,40.8000,204.0000,0.0147,37.50,44.0000,0.5000,0.1364,10.01,0.1058,50.03,0.1058,0.0005,0.1539,2.4000,0.0588,12.0000,0.0588,0.0017,0.1155,1.49,0.0399,-20.0000,,-0.0417,-0.0833,-0.0530,-0.3889
Tandoori Paneer Burrito,4c8c37c969bd13578ef2d13e11781bd9,302.34,1511.69,0.0118,23.8000,119,0.0090,27.67,41,0.3415,0.2439,2024-12-02,2024-12-29,339.81,1699.07,0.0127,27.2000,136.0000,0.0098,35.08,53.0000,0.5283,0.1698,-37.48,-0.1103,-187.38,-0.1103,-0.0009,-0.0716,-3.4000,-0.1250,-17.0000,-0.1250,-0.0008,-0.0782,-7.41,-0.2113,-12.0000,,-0.1868,-0.3537,0.0741,0.4363
Spicy Chili Chicken Bowl,f69c4f89d02ed8113b95711324f0c441,3082.58,15412.88,0.1202,217.4000,1087,0.0826,35.01,187,0.4332,0.2674,2024-12-02,2024-12-29,3705.73,18528.65,0.1385,283.4000,1417.0000,0.1022,36.84,196.0000,0.4490,0.2449,-623.15,-0.1682,-3115.77,-0.1682,-0.0183,-0.1320,-66.0000,-0.2329,-330.0000,-0.2329,-0.0196,-0.1918,-1.82,-0.0495,-9.0000,-0.0459,-0.0158,-0.0352,0.0225,0.0918
Spiced Cauli + Quinoa Bowl,1e8e6594ecff87b7c75c081bd791f412,512.99,2564.94,0.0200,40.6000,203,0.0154,40.98,61,0.3607,0.2459,2024-12-02,2024-12-29,561.47,2807.33,0.0210,49.0000,245.0000,0.0177,47.73,63.0000,0.4921,0.2063,-48.48,-0.0863,-242.39,-0.0863,-0.0010,-0.0466,-8.4000,-0.1714,-42.0000,-0.1714,-0.0022,-0.1271,-6.75,-0.1415,-2.0000,,-0.1314,-0.2671,0.0396,0.1917
Paneer Butter Masala,529fd125fd5bc47236ae9c0242d971ee,298.52,1492.61,0.0116,21.6000,108,0.0082,39.38,35,0.3714,0.2000,2024-12-02,2024-12-29,128.93,644.64,0.0048,12.2000,61.0000,0.0044,,26.0000,0.3846,0.1154,169.59,1.3154,847.97,1.3154,0.0068,1.4162,9.4000,0.7705,47.0000,,0.0038,0.8650,,,9.0000,,-0.0132,-0.0343,0.0846,0.7333
Iced Oat Masala Chai,4b20ca2314d50af8a833d825f8497f0e,83.14,415.72,0.0032,15.6000,78,0.0059,,11,0.4545,0.0909,2024-12-02,2024-12-29,75.73,378.64,0.0028,16.8000,84.0000,0.0061,,28.0000,0.3214,0.0714,7.42,0.0979,37.08,0.0979,0.0004,0.1457,-1.2000,-0.0714,-6.0000,,-0.0001,-0.0218,,,-17.0000,,0.1331,0.4141,0.0195,0.2727
Greens + Grains Bowl,3a65db2934efc6fe92bd7535047b7ae0,2015.69,10078.45,0.0786,160.4000,802,0.0610,28.44,247,0.4251,0.3077,2024-12-02,2024-12-29,2784.13,13920.65,0.1040,227.2000,1136.0000,0.0820,30.09,332.0000,0.3916,0.2711,-768.44,-0.2760,-3842.20,-0.2760,-0.0254,-0.2445,-66.8000,-0.2940,-334.0000,-0.2940,-0.0210,-0.2562,-1.65,-0.0550,-85.0000,-0.2560,0.0335,0.0856,0.0366,0.1350
Olipop - Cola,4d0b025abdd9a6e15ab6db940ec09ec9,15.00,15.00,0.0001,4.0000,4,0.0003,,0,0.0000,0.0000,2024-12-02,2024-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Lassi,612a2d386edc9534c9b0c2d1c8cb2290,495.29,2476.47,0.0193,95.4000,477,0.0363,38.91,92,0.5326,0.2500,2024-12-02,2024-12-29,526.63,2633.14,0.0197,112.2000,561.0000,0.0405,41.13,92.0000,0.4348,0.2174,-31.33,-0.0595,-156.67,-0.0595,-0.0004,-0.0186,-16.8000,-0.1497,-84.0000,-0.1497,-0.0042,-0.1042,-2.22,-0.0539,0.0000,,0.0978,0.2250,0.0326,0.1500
Saag Paneer,b2e5e331828a4748468e0853ec4d1f52,203.26,1016.28,0.0079,15.0000,75,0.0057,,23,0.4348,0.1739,2024-12-02,2024-12-29,68.36,341.80,0.0026,6.4000,32.0000,0.0023,,17.0000,0.5882,0.1176,134.90,1.9733,674.48,1.9733,0.0054,2.1027,8.6000,1.3438,43.0000,,0.0034,1.4697,,,6.0000,,-0.1535,-0.2609,0.0563,0.4783
Cauliflower + Quinoa,9e1e06a082e1a9f97e7cde96e99f413d,28.18,28.18,0.0002,2.0000,2,0.0002,,0,0.0000,0.0000,2024-12-02,2024-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chips + Chutney,405726360fa559701e5084184da18f6a,71.47,285.86,0.0022,24.7500,99,0.0075,,15,0.3333,0.1333,2024-12-02,2024-12-29,54.74,273.72,0.0020,18.6000,93.0000,0.0067,,22.0000,0.5000,0.3636,16.72,0.3054,12.14,0.0444,0.0002,0.0898,6.1500,0.3306,6.0000,,0.0008,0.1215,,,-7.0000,,-0.1667,-0.3333,-0.2303,-0.6333
Garlic Naan,d82b81ee46917a4a06cdfb7736d70417,484.74,2423.71,0.0189,193.0000,965,0.0733,36.20,135,0.4444,0.1704,2024-12-02,2024-12-29,385.81,1929.04,0.0144,154.6000,773.0000,0.0558,40.43,159.0000,0.3899,0.2264,98.93,0.2564,494.67,0.2564,0.0045,0.3111,38.4000,0.2484,192.0000,0.2484,0.0176,0.3152,-4.23,-0.1046,-24.0000,-0.1509,0.0545,0.1398,-0.0560,-0.2475
Side of Sauce,32614679d8cded9c7fb9f39d0de52643,53.89,269.47,0.0021,10.8000,54,0.0041,,10,0.4000,0.2000,2024-12-02,2024-12-29,19.48,97.41,0.0007,4.0000,20.0000,0.0014,,9.0000,0.2222,0.1111,34.41,1.7663,172.06,,0.0014,1.8867,6.8000,1.7000,34.0000,,0.0027,1.8441,,,1.0000,,0.1778,0.8000,0.0889,0.8000
Masala Chai - Oat Milk,d1d6cda5119313e3fecde5947361fe9f,44.57,222.84,0.0017,9.2000,46,0.0035,,13,0.3077,0.1538,2024-12-02,2024-12-29,32.53,162.64,0.0012,8.2000,41.0000,0.0030,,16.0000,0.5000,0.1875,12.04,0.3701,60.20,0.3701,0.0005,0.4298,1.0000,0.1220,5.0000,,0.0005,0.1819,,,-3.0000,,-0.1923,-0.3846,-0.0337,-0.1795
Spindrift - Grapefruit,7eb389cafb173c3fe430a2ef7af062b5,19.53,97.64,0.0008,6.8000,34,0.0026,,5,0.4000,0.0000,2024-12-02,2024-12-29,26.69,133.44,0.0010,9.4000,47.0000,0.0034,,8.0000,0.3750,0.1250,-7.16,-0.2683,-35.80,-0.2683,-0.0002,-0.2364,-2.6000,-0.2766,-13.0000,,-0.0008,-0.2380,,,-3.0000,,0.0250,0.0667,-0.1250,-1.0000
RAIN Water,c9e2ba806dc2619ee6b7181e15ef6628,6.00,6.00,0.0000,2.0000,2,0.0002,,0,0.0000,0.0000,2024-12-02,2024-12-29,36.31,145.25,0.0011,12.2500,49.0000,0.0035,,4.0000,0.2500,0.0000,-30.31,-0.8348,-139.25,-0.9587,-0.0010,-0.9569,-10.2500,-0.8367,-47.0000,,-0.0034,-0.9570,,,-4.0000,,-0.2500,-1.0000,0.0000,0.0000
Butter Chicken,9c31e042dca639957d77cf56d13f5e1d,2408.41,12042.04,0.0939,160.6000,803,0.0610,40.38,135,0.3259,0.1630,2024-12-02,2024-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samosa Chaat,ed1b49254bb3de73aa66c7b747f245fd,490.58,2452.90,0.0191,91.4000,457,0.0347,32.77,65,0.4615,0.2462,2024-12-02,2024-12-29,261.44,1307.18,0.0098,51.8000,259.0000,0.0187,36.72,70.0000,0.5143,0.2857,229.14,0.8765,1145.72,0.8765,0.0094,0.9582,39.6000,0.7645,198.0000,0.7645,0.0160,0.8589,-3.95,-0.1077,-5.0000,,-0.0527,-0.1026,-0.0396,-0.1385
Butter Chicken Burrito,037d8e4f48a3c66db8eaff8a4770bc84,703.86,3519.32,0.0274,56.6000,283,0.0215,35.24,119,0.4202,0.1765,2024-12-02,2024-12-29,718.40,3592.02,0.0268,63.4000,317.0000,0.0229,31.12,186.0000,0.4301,0.1667,-14.54,-0.0202,-72.70,-0.0202,0.0006,0.0224,-6.8000,-0.1073,-34.0000,-0.1073,-0.0014,-0.0595,4.13,0.1327,-67.0000,-0.3602,-0.0099,-0.0231,0.0098,0.0588
Masala Chai,65f3d39b3b905d8708692e1987f25b8f,62.85,314.25,0.0025,13.6000,68,0.0052,,16,0.2500,0.0000,2024-12-02,2024-12-29,40.71,203.54,0.0015,10.6000,53.0000,0.0038,,21.0000,0.2857,0.0476,22.14,0.5439,110.71,0.5439,0.0009,0.6111,3.0000,0.2830,15.0000,,0.0013,0.3518,,,-5.0000,,-0.0357,-0.1250,-0.0476,-1.0000
Maine Root Fountain Soda,53b139407870a7205e24a64b2ccf9eb2,35.75,71.50,0.0006,11.0000,22,0.0017,,2,0.5000,0.0000,2024-12-02,2024-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Lassi Soft Serve,5fcf149c10ea2c92c14aac3f08472cf1,7.77,23.32,0.0002,2.3333,7,0.0005,,7,0.1429,0.0000,2024-12-02,2024-12-29,10.14,40.57,0.0003,2.7500,11.0000,0.0008,,9.0000,0.6667,0.2222,-2.37,-0.2336,-17.25,,-0.0001,-0.4002,-0.4167,-0.1515,-4.0000,,-0.0003,-0.3300,,,-2.0000,,-0.5238,-0.7857,-0.2222,-1.0000
Chicken Tikka Bowl,19eee3ab8ae56d4fa56ef6ce1485693d,5116.91,25584.54,0.1995,400.8000,2004,0.1523,31.34,320,0.4219,0.3000,2024-12-02,2024-12-29,4445.13,22225.63,0.1661,378.2000,1891.0000,0.1364,34.19,321.0000,0.4268,0.2804,671.78,0.1511,3358.91,0.1511,0.0334,0.2012,22.6000,0.0598,113.0000,0.0598,0.0159,0.1165,-2.85,-0.0833,-1.0000,-0.0031,-0.0049,-0.0115,0.0196,0.0700
Open Water Sparkling Water,bd334657d0647a944bf877236ce1ddf7,13.17,65.84,0.0005,4.4000,22,0.0017,,2,0.0000,0.0000,2024-12-02,2024-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kids Meal,cb80051e1dec09bf436eb1ff54f488f5,275.61,1378.07,0.0107,36.0000,180,0.0137,33.48,55,0.3455,0.1818,2024-12-02,2024-12-29,192.66,963.31,0.0072,24.4000,122.0000,0.0088,35.91,56.0000,0.3929,0.1786,82.95,0.4306,414.76,0.4306,0.0035,0.4928,11.6000,0.4754,58.0000,0.4754,0.0049,0.5544,-2.43,-0.0677,-1.0000,,-0.0474,-0.1207,0.0032,0.0182
Side of Main,03d76c3a768e84f8c0bbad2f13d4188a,127.70,638.50,0.0050,23.6000,118,0.0090,,13,0.3846,0.2308,2024-12-02,2024-12-29,68.27,341.33,0.0026,12.6000,63.0000,0.0045,,14.0000,0.2857,0.0000,59.43,0.8706,297.17,0.8706,0.0024,0.9520,11.0000,0.8730,55.0000,,0.0044,0.9732,,,-1.0000,,0.0989,0.3462,0.2308,0.0000
Wild Kombucha - Ginger,2800f7ea017d47701691d95876ecd531,18.00,90.00,0.0007,3.6000,18,0.0014,,2,0.5000,0.0000,2024-12-02,2024-12-29,16.00,80.00,0.0006,3.2000,16.0000,0.0012,,1.0000,0.0000,0.0000,2.00,0.1250,10.00,,0.0001,0.1740,0.4000,0.1250,2.0000,,0.0002,0.1854,,,1.0000,,0.5000,0.0000,0.0000,0.0000
Chicken Tikka Masala,267c2347c906518c838773cc8332e72e,991.58,4957.91,0.0387,66.0000,330,0.0251,41.24,92,0.2935,0.1522,2024-12-02,2024-12-29,529.10,2645.50,0.0198,48.2000,241.0000,0.0174,39.13,89.0000,0.4045,0.1011,462.48,0.8741,2312.41,0.8741,0.0189,0.9557,17.8000,0.3693,89.0000,0.3693,0.0077,0.4425,2.11,0.0539,3.0000,,-0.1110,-0.2745,0.0510,0.5048
Sweet Cardamom Yogurt,ce73831089aa1e7767f4bbc5146ccd31,63.37,316.87,0.0025,18.8000,94,0.0071,,15,0.2667,0.0667,2024-12-02,2024-12-29,52.02,260.08,0.0019,18.8000,94.0000,0.0068,,25.0000,0.2800,0.1200,11.36,0.2184,56.79,0.2184,0.0005,0.2714,0.0000,0.0000,0.0000,,0.0004,0.0535,,,-10.0000,,-0.0133,-0.0476,-0.0533,-0.4444
Chicken Tikka + Avocado Salad,0728e0a55ce8f942b4f93af58819db09,538.21,2691.04,0.0210,38.8000,194,0.0147,47.26,75,0.3867,0.2000,2024-12-02,2024-12-29,619.24,3096.20,0.0231,47.4000,237.0000,0.0171,51.03,64.0000,0.3125,0.1250,-81.03,-0.1309,-405.16,-0.1309,-0.0022,-0.0930,-8.6000,-0.1814,-43.0000,-0.1814,-0.0024,-0.1376,-3.77,-0.0740,11.0000,,0.0742,0.2373,0.0750,0.6000
Paneer Tikka Bowl,1680a4357e2ab3fb482a56d60603525a,2436.55,12182.74,0.0950,183.2000,916,0.0696,35.52,188,0.4787,0.2926,2024-12-02,2024-12-29,2318.28,11591.42,0.0866,186.6000,933.0000,0.0673,38.69,189.0000,0.4286,0.2646,118.26,0.0510,591.32,0.0510,0.0084,0.0968,-3.4000,-0.0182,-17.0000,-0.0182,0.0023,0.0343,-3.17,-0.0818,-1.0000,-0.0053,0.0502,0.1170,0.0280,0.1059
That Fire Hot Sauce - Side,14e40e9f01921c00a883fd7cd5d5130f,13.60,68.02,0.0005,30.8000,154,0.0117,30.95,14,0.2143,0.0000,2024-12-02,2024-12-29,12.78,63.90,0.0005,26.4000,132.0000,0.0095,36.05,21.0000,0.3333,0.0952,0.82,0.0645,4.12,,0.0001,0.1108,4.4000,0.1667,22.0000,0.1667,0.0022,0.2292,-5.10,-0.1415,-7.0000,,-0.1190,-0.3571,-0.0952,-1.0000
Side of Veggie,2bf13144a231acbd18bd6f39bace242a,56.66,283.28,0.0022,11.2000,56,0.0043,,4,0.0000,0.0000,2024-12-02,2024-12-29,71.39,356.96,0.0027,14.6000,73.0000,0.0053,,15.0000,0.1333,0.1333,-14.74,-0.2064,-73.68,-0.2064,-0.0005,-0.1719,-3.4000,-0.2329,-17.0000,,-0.0010,-0.1918,,,-11.0000,,-0.1333,-1.0000,-0.1333,-1.0000
Aloo Gobhi,d64c6c4491b32b7ee357a93508b45c4f,123.97,619.85,0.0048,9.4000,47,0.0036,,16,0.2500,0.1250,2024-12-02,2024-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olipop - Root Beer,c16064aeb99eec0b8f7e38e0536ef4cd,21.56,86.25,0.0007,5.7500,23,0.0017,,0,0.0000,0.0000,2024-12-02,2024-12-29,18.75,93.76,0.0007,5.2000,26.0000,0.0019,,4.0000,0.0000,0.0000,2.81,0.1499,-7.51,,-0.0000,-0.0401,0.5500,0.1058,-3.0000,,-0.0001,-0.0682,,,-4.0000,,0.0000,0.0000,0.0000,0.0000
