Item,Item id,Item revenue per location,Item revenue,Item revenue percentage,Item volume per location,Item volume,Item volume percentage,Item aov,Item guests,N day item return rate,N day item reorder rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
Side of Grain,343ce46c5489f43ec64a165e5323783f,32.01,160.05,0.0012,11.6000,58,0.0044,,12,0.3333,0.0833,2024-12-02,2024-12-29,23.55,117.73,0.0009,8.0000,40.0000,0.0029,,6.0000,0.5000,0.1667,8.46,0.3595,42.32,0.3595,0.0004,0.4186,3.6000,0.4500,18.0000,,0.0015,0.5274,,,6.0000,,-0.1667,-0.3333,-0.0833,-0.5000
Wild Kombucha - Mango Peach,c5637f01dae60eb3ac82016ed498641e,28.00,140.00,0.0011,5.8000,29,0.0022,,2,0.0000,0.0000,2024-12-02,2024-12-29,24.63,123.14,0.0009,5.8000,29.0000,0.0021,,8.0000,0.2500,0.0000,3.37,0.1369,16.86,0.1369,0.0002,0.1864,0.0000,0.0000,0.0000,,0.0001,0.0535,,,-6.0000,,-0.2500,-1.0000,0.0000,0.0000
Olipop - Lemon Lime,d0f6c9eca03c9e01cc39075f92426076,42.19,168.75,0.0013,11.2500,45,0.0034,,2,0.0000,0.0000,2024-12-02,2024-12-29,25.46,127.30,0.0010,7.2000,36.0000,0.0026,,4.0000,0.2500,0.0000,16.73,0.6570,41.45,0.3256,0.0004,0.3833,4.0500,0.5625,9.0000,,0.0008,0.3169,,,-2.0000,,-0.2500,-1.0000,0.0000,0.0000
Open Water Still Water,924a62abf03e0973f0882c9bc80cf78d,23.93,119.63,0.0009,8.0000,40,0.0030,,5,0.4000,0.0000,2024-12-02,2024-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salad Bowl,12e1c60082e99443f0803dea36bcfd1e,393.57,1967.86,0.0153,29.6000,148,0.0112,42.59,49,0.4286,0.2449,2024-12-02,2024-12-29,515.03,2575.16,0.0192,40.0000,200.0000,0.0144,33.96,69.0000,0.4928,0.2029,-121.46,-0.2358,-607.30,-0.2358,-0.0039,-0.2026,-10.4000,-0.2600,-52.0000,-0.2600,-0.0032,-0.2204,8.63,0.2541,-20.0000,,-0.0642,-0.1303,0.0420,0.2070
Naan,29f3e38343ae99ac5524ed1ddb2b1d6e,124.02,620.12,0.0048,61.2000,306,0.0233,38.92,57,0.4035,0.1754,2024-12-02,2024-12-29,108.45,542.23,0.0041,53.8000,269.0000,0.0194,43.26,57.0000,0.3860,0.1930,15.58,0.1436,77.89,0.1436,0.0008,0.1934,7.4000,0.1375,37.0000,0.1375,0.0039,0.1984,-4.34,-0.1004,0.0000,,0.0175,0.0455,-0.0175,-0.0909
Homemade Juice,d6f19fa56665e191989db7a893806ea1,76.85,384.23,0.0030,27.8000,139,0.0106,27.87,62,0.5000,0.1774,2024-12-02,2024-12-29,74.81,374.05,0.0028,27.0000,135.0000,0.0097,30.46,43.0000,0.5814,0.3488,2.04,0.0272,10.18,0.0272,0.0002,0.0719,0.8000,0.0296,4.0000,0.0296,0.0008,0.0847,-2.59,-0.0850,19.0000,,-0.0814,-0.1400,-0.1714,-0.4914
Spindrift - Lemon,9c741ccf6f8529297f729b75ce83a4f6,29.50,147.50,0.0012,10.0000,50,0.0038,,2,0.0000,0.0000,2024-12-02,2024-12-29,19.63,98.13,0.0007,7.0000,35.0000,0.0025,,9.0000,0.5556,0.1111,9.87,0.5031,49.37,,0.0004,0.5685,3.0000,0.4286,15.0000,,0.0013,0.5050,,,-7.0000,,-0.5556,-1.0000,-0.1111,-1.0000
Grain Bowl,8f1eb7b733a778fa96d20356d25b7acb,2098.30,10491.52,0.0818,170.4000,852,0.0648,26.62,294,0.4354,0.3469,2024-12-02,2024-12-29,2908.56,14542.82,0.1087,241.0000,1205.0000,0.0869,28.48,369.0000,0.4499,0.3550,-810.26,-0.2786,-4051.30,-0.2786,-0.0269,-0.2472,-70.6000,-0.2929,-353.0000,-0.2929,-0.0222,-0.2551,-1.86,-0.0654,-75.0000,-0.2033,-0.0145,-0.0322,-0.0081,-0.0227
BYO Indian Burrito,db0c5ae76b375d33e10998b4c9f9b7ac,249.57,1247.85,0.0097,19.4000,97,0.0074,,36,0.5000,0.1667,2024-12-02,2024-12-29,208.30,1041.51,0.0078,17.2000,86.0000,0.0062,,26.0000,0.5385,0.1923,41.27,0.1981,206.34,0.1981,0.0019,0.2503,2.2000,0.1279,11.0000,,0.0012,0.1883,,,10.0000,,-0.0385,-0.0714,-0.0256,-0.1333
