Item,Item id,Item revenue per location,Item revenue,Item revenue percentage,Item volume per location,Item volume,Item volume percentage,Item aov,Item guests,N day item return rate,N day item reorder rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
Mini Samosas,adb32f1bdc98ccdf3a40e53c1eb1948f,338.10,1690.49,0.0147,136.6000,683,0.0593,34.71,126,0.4444,0.2937,2024-09-02,2024-09-29,1155.91,5779.57,0.0270,453.8000,2269.0000,0.1042,38.63,177.0000,0.5254,0.2599,-817.82,-0.7075,-4089.08,-0.7075,-0.0124,-0.4574,-317.2000,-0.6990,-1586.0000,-0.6990,-0.0449,-0.4308,-3.92,-0.1015,-51.0000,-0.2881,-0.0810,-0.1541,0.0338,0.1299
The Desi Deluxe,297f17b1d91741c7e06ef285193063ac,1831.20,1831.20,0.0159,80.0000,80,0.0069,,0,0.0000,0.0000,2024-09-02,2024-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masala Chai Cookies,25a7af37faf799e0226041f2b0b2e282,104.87,524.37,0.0045,42.8000,214,0.0186,39.09,25,0.3200,0.1200,2024-09-02,2024-09-29,206.31,1031.57,0.0048,83.2000,416.0000,0.0191,47.14,36.0000,0.3889,0.1944,-101.44,-0.4917,-507.20,-0.4917,-0.0003,-0.0570,-40.4000,-0.4856,-202.0000,-0.4856,-0.0005,-0.0272,-8.05,-0.1708,-11.0000,,-0.0689,-0.1771,-0.0744,-0.3829
RAIN Water,c9e2ba806dc2619ee6b7181e15ef6628,10.15,50.74,0.0004,3.6000,18,0.0016,,3,0.3333,0.0000,2024-09-02,2024-09-29,24.37,121.86,0.0006,8.2000,41.0000,0.0019,,6.0000,0.3333,0.1667,-14.22,-0.5836,-71.12,-0.5836,-0.0001,-0.2276,-4.6000,-0.5610,-23.0000,,-0.0003,-0.1695,,,-3.0000,,0.0000,0.0000,-0.1667,-1.0000
Cucumber Raita,b6aef261062648a464a75abf3a88d636,67.44,337.20,0.0029,22.8000,114,0.0099,41.35,17,0.3529,0.1176,2024-09-02,2024-09-29,84.92,424.58,0.0020,28.8000,144.0000,0.0066,46.68,25.0000,0.5200,0.2800,-17.48,-0.2058,-87.38,-0.2058,0.0009,0.4733,-6.0000,-0.2083,-30.0000,-0.2083,0.0033,0.4971,-5.33,-0.1142,-8.0000,,-0.1671,-0.3213,-0.1624,-0.5798
Spindrift - Grapefruit,7eb389cafb173c3fe430a2ef7af062b5,19.18,76.70,0.0007,6.5000,26,0.0023,,3,0.3333,0.0000,2024-09-02,2024-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samosa Chaat,ed1b49254bb3de73aa66c7b747f245fd,522.35,2611.76,0.0227,95.8000,479,0.0416,31.32,57,0.4386,0.2982,2024-09-02,2024-09-29,410.67,2053.34,0.0096,77.2000,386.0000,0.0177,35.76,92.0000,0.4674,0.2174,111.68,0.2720,558.42,0.2720,0.0131,1.3596,18.6000,0.2409,93.0000,0.2409,0.0239,1.3466,-4.43,-0.1240,-35.0000,,-0.0288,-0.0616,0.0809,0.3719
That Fire Hot Sauce - Side,14e40e9f01921c00a883fd7cd5d5130f,14.57,72.84,0.0006,31.0000,155,0.0135,30.95,14,0.2857,0.0714,2024-09-02,2024-09-29,24.21,121.03,0.0006,49.2000,246.0000,0.0113,41.41,19.0000,0.3684,0.2105,-9.64,-0.3982,-48.19,-0.3982,0.0001,0.1165,-18.2000,-0.3699,-91.0000,-0.3699,0.0022,0.1916,-10.46,-0.2525,-5.0000,,-0.0827,-0.2245,-0.1391,-0.6607
Iced Oat Masala Chai,4b20ca2314d50af8a833d825f8497f0e,85.93,429.64,0.0037,16.2000,81,0.0070,,16,0.3750,0.0625,2024-09-02,2024-09-29,42.02,210.09,0.0010,10.8000,54.0000,0.0025,,54.0000,0.7407,0.0741,43.91,1.0450,219.55,1.0450,0.0027,2.7937,5.4000,0.5000,27.0000,,0.0046,1.8362,,,-38.0000,,-0.3657,-0.4938,-0.0116,-0.1562
Swirl Soft Serve,5c81ddf65ea7d6a47fd8bbbc27c484aa,11.60,23.20,0.0002,2.5000,5,0.0004,,4,0.7500,0.2500,2024-09-02,2024-09-29,8.00,24.00,0.0001,1.6667,5.0000,0.0002,,5.0000,0.0000,0.0000,3.60,0.4500,-0.80,,0.0001,0.7933,0.8333,0.5000,0.0000,,0.0002,0.8870,,,-1.0000,,0.7500,0.0000,0.2500,0.0000
