Item,Item id,Item revenue per location,Item revenue,Item revenue percentage,Item volume per location,Item volume,Item volume percentage,Item aov,Item guests,N day item return rate,N day item reorder rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
Wild Kombucha - Mango Peach,c5637f01dae60eb3ac82016ed498641e,37.71,188.56,0.0012,9.4000,47,0.0032,,15,,,2025-03-31,2025-04-27,21.92,109.62,0.0008,4.4000,22.0000,0.0016,,2.0000,0.5000,0.5000,15.79,0.7201,78.94,0.7201,0.0004,0.5582,5.0000,1.1364,25.0000,,0.0016,1.0121,,,13.0000,,,,,
Olipop - Cola,4d0b025abdd9a6e15ab6db940ec09ec9,23.25,116.25,0.0007,6.6000,33,0.0022,,8,,,2025-03-31,2025-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Cardamom Yogurt,ce73831089aa1e7767f4bbc5146ccd31,95.90,479.50,0.0031,29.2000,146,0.0098,41.93,18,,,2025-03-31,2025-04-27,67.66,338.31,0.0024,23.0000,115.0000,0.0082,45.88,21.0000,0.4762,0.0952,28.24,0.4173,141.19,0.4173,0.0007,0.2839,6.2000,0.2696,31.0000,0.2696,0.0016,0.1961,-3.95,-0.0860,-3.0000,,,,,
Paneer Butter Masala,529fd125fd5bc47236ae9c0242d971ee,404.58,2022.92,0.0130,28.8000,144,0.0097,42.36,33,,,2025-03-31,2025-04-27,212.10,1060.51,0.0075,18.6000,93.0000,0.0066,,38.0000,0.2632,0.0789,192.48,0.9075,962.41,0.9075,0.0055,0.7279,10.2000,0.5484,51.0000,,0.0030,0.4588,,,-5.0000,,,,,
Butter Chicken,9c31e042dca639957d77cf56d13f5e1d,1589.65,7948.24,0.0510,103.0000,515,0.0347,46.25,160,,,2025-03-31,2025-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side of Sauce,32614679d8cded9c7fb9f39d0de52643,56.83,284.16,0.0018,12.0000,60,0.0040,,11,,,2025-03-31,2025-04-27,39.63,198.15,0.0014,8.2000,41.0000,0.0029,,12.0000,0.6667,0.2500,17.20,0.4341,86.01,0.4341,0.0004,0.2991,3.8000,0.4634,19.0000,,0.0011,0.3786,,,-1.0000,,,,,
Side of Veggie,2bf13144a231acbd18bd6f39bace242a,53.04,265.20,0.0017,10.6000,53,0.0036,,12,,,2025-03-31,2025-04-27,66.53,332.63,0.0024,13.2000,66.0000,0.0047,,12.0000,0.1667,0.0000,-13.49,-0.2027,-67.43,-0.2027,-0.0007,-0.2778,-2.6000,-0.1970,-13.0000,,-0.0011,-0.2435,,,0.0000,,,,,
Cucumber Raita,b6aef261062648a464a75abf3a88d636,70.80,354.00,0.0023,27.2000,136,0.0092,47.84,33,,,2025-03-31,2025-04-27,64.66,323.29,0.0023,22.2000,111.0000,0.0079,47.87,26.0000,0.1923,0.0769,6.14,0.0950,30.71,0.0950,-0.0000,-0.0081,5.0000,0.2252,25.0000,0.2252,0.0012,0.1544,-0.03,-0.0007,7.0000,,,,,
Paneer Tikka Masala,69d79d2325d9449dac6849aa7f892975,63.36,316.80,0.0020,4.2000,21,0.0014,,0,,,2025-03-31,2025-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saag Chole,e7b06d260a320ee1e70d9b9577458895,69.34,346.70,0.0022,4.8000,24,0.0016,,1,,,2025-03-31,2025-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
