Item,Item id,Item revenue per location,Item revenue,Item revenue percentage,Item volume per location,Item volume,Item volume percentage,Item aov,Item guests,N day item return rate,N day item reorder rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
Greens + Grains Bowl,3a65db2934efc6fe92bd7535047b7ae0,2067.28,10336.41,0.0747,157.8000,789,0.0592,31.07,517,,,2025-04-28,2025-05-25,2285.84,11429.22,0.0863,170.4000,852.0000,0.0662,31.34,298.0000,0.4463,0.2886,-218.56,-0.0956,-1092.81,-0.0956,-0.0117,-0.1351,-12.6000,-0.0739,-63.0000,-0.0739,-0.0070,-0.1060,-0.27,-0.0086,219.0000,0.7349,,,,
Cucumber Raita,b6aef261062648a464a75abf3a88d636,68.29,341.43,0.0025,24.2000,121,0.0091,42.41,63,,,2025-04-28,2025-05-25,54.79,273.97,0.0021,18.6000,93.0000,0.0072,,19.0000,0.3684,0.2105,13.49,0.2462,67.46,0.2462,0.0004,0.1918,5.6000,0.3011,28.0000,,0.0019,0.2561,,,44.0000,,,,,
Butter Chicken,9c31e042dca639957d77cf56d13f5e1d,1249.91,6249.57,0.0452,79.2000,396,0.0297,47.31,251,,,2025-04-28,2025-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side of Grain,343ce46c5489f43ec64a165e5323783f,25.80,129.00,0.0009,9.2000,46,0.0035,,23,,,2025-04-28,2025-05-25,15.00,75.00,0.0006,5.0000,25.0000,0.0019,,9.0000,0.4444,0.2222,10.80,0.7200,54.00,,0.0004,0.6449,4.2000,0.8400,21.0000,,0.0015,0.7766,,,14.0000,,,,,
Masala Chai Cookies,25a7af37faf799e0226041f2b0b2e282,110.88,554.38,0.0040,48.6000,243,0.0182,35.11,127,,,2025-04-28,2025-05-25,118.74,593.69,0.0045,49.4000,247.0000,0.0192,40.12,43.0000,0.4651,0.2093,-7.86,-0.0662,-39.31,-0.0662,-0.0005,-0.1070,-0.8000,-0.0162,-4.0000,-0.0162,-0.0010,-0.0502,-5.01,-0.1249,84.0000,,,,,
Chicken Tikka Masala,267c2347c906518c838773cc8332e72e,992.56,4962.79,0.0359,63.4000,317,0.0238,44.81,226,,,2025-04-28,2025-05-25,590.52,2952.59,0.0223,52.4000,262.0000,0.0204,41.98,84.0000,0.3095,0.1190,402.04,0.6808,2010.20,0.6808,0.0135,0.6075,11.0000,0.2099,55.0000,0.2099,0.0034,0.1680,2.84,0.0676,142.0000,,,,,
Chicken Curry,bd0e970348fd3d0bbb878201f9e6fd93,148.62,743.10,0.0054,9.6000,48,0.0036,,26,,,2025-04-28,2025-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spindrift - Lemon,9c741ccf6f8529297f729b75ce83a4f6,21.06,105.31,0.0008,8.0000,40,0.0030,,26,,,2025-04-28,2025-05-25,15.26,76.30,0.0006,5.4000,27.0000,0.0021,,7.0000,0.2857,0.2857,5.80,0.3802,29.01,,0.0002,0.3200,2.6000,0.4815,13.0000,,0.0009,0.4297,,,19.0000,,,,,
Side of Veggie,2bf13144a231acbd18bd6f39bace242a,57.87,289.33,0.0021,11.4000,57,0.0043,,37,,,2025-04-28,2025-05-25,74.09,370.45,0.0028,14.8000,74.0000,0.0058,,16.0000,0.5000,0.3125,-16.22,-0.2190,-81.12,-0.2190,-0.0007,-0.2531,-3.4000,-0.2297,-17.0000,,-0.0015,-0.2564,,,21.0000,,,,,
Olipop - Cola,4d0b025abdd9a6e15ab6db940ec09ec9,20.62,82.50,0.0006,5.5000,22,0.0017,,12,,,2025-04-28,2025-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
